place,place_id,place_label,place_lat,place_lon,direct_country_ids,direct_country_labels,admin_country_ids,admin_country_labels,context_country_ids,context_country_labels,admin_entity_ids,admin_entity_labels
http://www.wikidata.org/entity/Q642960,Q642960,Dobrut,51.3,20.98333,Q36,Pologne,Q36,Pologne,Q36,Pologne,Q1906069 | Q935418 | Q54169,Orońsko | Szydłowiec | voïvodie de Mazovie
http://www.wikidata.org/entity/Q643160,Q643160,Farnham,51.214,-0.799,Q145,Royaume-Uni,Q145 | Q161885 | Q174193 | Q179876,Royaume-Uni | royaume de Grande-Bretagne | Royaume-Uni de Grande-Bretagne et d'Irlande | royaume d'Angleterre,Q145 | Q161885 | Q174193 | Q179876,Royaume-Uni | royaume de Grande-Bretagne | Royaume-Uni de Grande-Bretagne et d'Irlande | royaume d'Angleterre,Q2116521 | Q23276 | Q48015 | Q21 | Q179876,Waverley | Surrey | Angleterre du Sud-Est | Angleterre | royaume d'Angleterre
http://www.wikidata.org/entity/Q643312,Q643312,Kriegsfeld,49.709444444444,7.9152777777778,Q183,Allemagne,Q183 | Q55309,Allemagne | zone d'occupation française en Allemagne,Q183 | Q55309,Allemagne | zone d'occupation française en Allemagne,Q8564 | Q1200 | Q183,arrondissement de Mont-Tonnerre | Rhénanie-Palatinat | Allemagne
http://www.wikidata.org/entity/Q6433707,Q6433707,Koszyce Małe,49.971666666666664,20.94638888888889,Q36,Pologne,Q36,Pologne,Q36,Pologne,Q2098840 | Q1340642 | Q54159,Tarnów | voïvodie de Petite-Pologne
http://www.wikidata.org/entity/Q643386,Q643386,Chouchtar,32.04972222222222,48.848333333333336,Q794,Iran,Q794,Iran,Q794,Iran,Q5060971 | Q1279468 | Q241119,district central | préfecture de Shushtar | Khouzistan
http://www.wikidata.org/entity/Q6434267,Q6434267,Kottakkal,10.999544444444,76.001958333333,Q668,Inde,Q668,Inde,Q668,Inde,Q1030918 | Q1186 | Q668,district de Malappuram | Kerala | Inde
http://www.wikidata.org/entity/Q64352565,Q64352565,hôtel Dupaty de Clam,,,Q142,France,Q142,France,Q142,France,Q82185 | Q701370 | Q3278 | Q18678082 | Q17009,La Rochelle | arrondissement de La Rochelle | Charente-Maritime | Nouvelle-Aquitaine | Poitou-Charentes
http://www.wikidata.org/entity/Q64359,Q64359,Andeer,46.603,9.4264,Q39,Suisse,Q39,Suisse,Q39,Suisse,Q22918253 | Q11925 | Q39,Région de Viamala | canton des Grisons | Suisse
http://www.wikidata.org/entity/Q643650,Q643650,Gülzow-Prüzen,53.783055555556,12.051388888889,Q183,Allemagne,Q16957 | Q183,République démocratique allemande | Allemagne,Q16957 | Q183,République démocratique allemande | Allemagne,Q459340 | Q2898 | Q1196,Güstrow-Land | Rostock | Mecklembourg-Poméranie-Occidentale
http://www.wikidata.org/entity/Q6440843,Q6440843,Księginice Wielkie,50.75916667,16.90027778,Q36,Pologne,Q36,Pologne,Q36,Pologne,Q1940690 | Q179986 | Q54150,Kondratowice | Strzelin | voïvodie de Basse-Silésie
http://www.wikidata.org/entity/Q6441,Q6441,Montpellier,43.610919444444,3.8772305555556,Q142,France,Q142,France,Q142,France,Q12545 | Q1119873 | Q701804 | Q18678265 | Q17005 | Q212429,Hérault | Montpellier Méditerranée Métropole | arrondissement de Montpellier | Occitanie | Languedoc-Roussillon | France métropolitaine
http://www.wikidata.org/entity/Q6445091,Q6445091,Hoz de Anero,43.407222222222,-3.6616666666667,Q29,Espagne,Q29,Espagne,Q29,Espagne,Q1602418 | Q3946 | Q29,Ribamontán al Monte | Cantabrie | Espagne
http://www.wikidata.org/entity/Q64486,Q64486,Gebenstorf,47.4795,8.24235,Q39,Suisse,Q39,Suisse,Q39,Suisse,Q659597 | Q11972 | Q39,district de Baden | canton d'Argovie | Suisse
http://www.wikidata.org/entity/Q645085,Q645085,Mamers,48.349444444444,0.36944444444444,Q142,France,Q142,France,Q142,France,Q12740 | Q701616 | Q16994 | Q212429,Sarthe | arrondissement de Mamers | Pays de la Loire | France métropolitaine
http://www.wikidata.org/entity/Q645157,Q645157,monastère de Poblet,41.380833333333,1.0825,Q29,Espagne,Q29,Espagne,Q29,Espagne,Q67151227 | Q776730 | Q126596613 | Q98392 | Q15368 | Q5705,Poblet | Vimbodí i Poblet | province de Tarragone | Conca de Barberà | Catalogne
http://www.wikidata.org/entity/Q6454,Q6454,Calais,50.9475,1.8555555555556,Q142,France,Q142,France,Q142,France,Q12689 | Q1268853 | Q257207 | Q1491807 | Q1724705 | Q700809 | Q18677767 | Q16987 | Q212429 | Q142,Pas-de-Calais | canton de Calais-Centre | canton de Calais-Est | canton de Calais-Nord-Ouest | canton de Calais-Sud-Est | arrondissement de Calais | Hauts-de-France | Nord-Pas-de-Calais | France métropolitaine | France
http://www.wikidata.org/entity/Q6454056,Q6454056,Kotcharli (Tartar),40.273888888889,47.058333333333,Q227,Azerbaïdjan,Q15180 | Q227,Union soviétique | Azerbaïdjan,Q15180 | Q227,Union soviétique | Azerbaïdjan,Q477168 | Q227 | Q131337 | Q15180 | Q545205,Tartar | Azerbaïdjan | République socialiste soviétique d'Azerbaïdjan | Union soviétique | République socialiste fédérative soviétique de Transcaucasie
http://www.wikidata.org/entity/Q645623,Q645623,Longford,53.727,-7.7998,Q27,Irlande,Q174193 | Q27 | Q31747,Royaume-Uni de Grande-Bretagne et d'Irlande | Irlande | État libre d'Irlande,Q174193 | Q27 | Q31747,Royaume-Uni de Grande-Bretagne et d'Irlande | Irlande | État libre d'Irlande,Q186220 | Q159736 | Q1345331 | Q27 | Q31747 | Q57695350,comté de Longford | Leinster | Midlands d'Irlande | Irlande | État libre d'Irlande
http://www.wikidata.org/entity/Q645656,Q645656,Q645656,49.017222222222,2.0913888888889,Q142,France,Q142,France,Q142,France,Q979470 | Q12784 | Q702112 | Q13917 | Q212429,Seine-et-Oise | Val-d'Oise | arrondissement de Pontoise | Île-de-France | France métropolitaine
http://www.wikidata.org/entity/Q645663,Q645663,université de Pise,43.716508333333,10.398458333333,Q38,Italie,Q1365493 | Q148540 | Q154849 | Q165154 | Q223793 | Q2252973 | Q2268597 | Q38 | Q71084,République de Pise | République florentine | grand-duché de Toscane | royaume de Sardaigne | royaume d'Étrurie | duché de Florence | Provinces-Unies d'Italie centrale | Italie | Premier Empire français,Q1365493 | Q148540 | Q154849 | Q165154 | Q223793 | Q2252973 | Q2268597 | Q38 | Q71084,République de Pise | République florentine | grand-duché de Toscane | royaume de Sardaigne | royaume d'Étrurie | duché de Florence | Provinces-Unies d'Italie centrale | Italie | Premier Empire français,Q13375 | Q16244 | Q1273,Pise | Toscane
http://www.wikidata.org/entity/Q645832,Q645832,Dasing,48.38361111111111,11.048333333333334,Q183,Allemagne,Q183 | Q41304 | Q713750 | Q7318,Allemagne | république de Weimar | Allemagne de l'Ouest | Troisième Reich,Q183 | Q41304 | Q713750 | Q7318,Allemagne | république de Weimar | Allemagne de l'Ouest | Troisième Reich,Q10415 | Q10557 | Q980,arrondissement d'Aichach-Friedberg | Souabe | Bavière
http://www.wikidata.org/entity/Q645925,Q645925,Frauenchiemsee,47.873122,12.425708,Q183,Allemagne,Q183,Allemagne,Q183,Allemagne,Q705821 | Q10526 | Q10562,Chiemsee | arrondissement de Rosenheim | Haute-Bavière
http://www.wikidata.org/entity/Q6462,Q6462,Dippoldiswalde,50.893333333333,13.666666666667,Q183 | Q16957,Allemagne | République démocratique allemande,Q1206012 | Q183,Reich allemand | Allemagne,Q1206012 | Q16957 | Q183,Reich allemand | République démocratique allemande | Allemagne,Q6323 | Q20274 | Q1202 | Q24221 | Q24174 | Q183 | Q1206012,Suisse-Saxonne-Monts-Métallifères-de-l'Est | arrondissement de Weisseritz | Saxe | district de Dresde | Regierungsbezirk Dresden | Allemagne | Reich allemand
http://www.wikidata.org/entity/Q646558,Q646558,Cogners,47.868055555556,0.65888888888889,Q142,France,Q142,France,Q142,France,Q12740 | Q701616 | Q701439 | Q16994 | Q212429,Sarthe | arrondissement de Mamers | arrondissement du Mans | Pays de la Loire | France métropolitaine
http://www.wikidata.org/entity/Q646620,Q646620,Estella-Lizarra,42.6705,-2.03064,Q29,Espagne,Q29,Espagne,Q29,Espagne,Q4018 | Q1248111 | Q29,Navarre | mérindade d'Estella-Lizarra | Espagne
http://www.wikidata.org/entity/Q646850,Q646850,Kiskőrös,46.620277777778,19.283611111111,Q28,Hongrie,Q171150 | Q28 | Q516160,royaume de Hongrie | Hongrie | République démocratique hongroise,Q171150 | Q28 | Q516160,royaume de Hongrie | Hongrie | République démocratique hongroise,Q1070417 | Q123300746 | Q181018 | Q602251 | Q28 | Q171150 | Q516160 | Q243652 | Q600018,Kiskőrös | Kiskőrös District | Bács-Kiskun | Pest-Pilis-Solt-Kiskun | Hongrie | royaume de Hongrie | République démocratique hongroise | République des conseils de Hongrie | Royaume de Hongrie
http://www.wikidata.org/entity/Q647,Q647,Rennes,48.114166666667,-1.6808333333333,Q142,France,Q142,France,Q142,France,Q1726898 | Q304154 | Q673822 | Q1726900 | Q475561 | Q1726902 | Q1726911 | Q1726912 | Q1726913 | Q1726896 | Q1512839 | Q702196 | Q12549 | Q12208 | Q12130 | Q212429,canton de Rennes-Centre | canton de Rennes-Centre-Ouest | canton de Rennes-Centre-Sud | canton de Rennes-Est | canton de Rennes-Nord | canton de Rennes-Nord-Est | canton de Rennes-Nord-Ouest | canton de Rennes-Sud-Est | canton de Rennes-Sud-Ouest | canton de Rennes-Bréquigny | canton de Rennes-le-Blosne | arrondissement de Rennes | Ille-et-Vilaine | Rennes Métropole | Bretagne | France métropolitaine
http://www.wikidata.org/entity/Q647123,Q647123,Honiton,50.8,-3.19,Q145,Royaume-Uni,Q145,Royaume-Uni,Q145,Royaume-Uni,Q1277825 | Q21694695 | Q23156,East Devon | Devon
http://www.wikidata.org/entity/Q64755,Q64755,Merenschwand,47.262222222222,8.3775,Q39,Suisse,Q39,Suisse,Q39,Suisse,Q656740 | Q11972 | Q39,district de Muri | canton d'Argovie | Suisse
http://www.wikidata.org/entity/Q6477,Q6477,Pirna,50.962222222222,13.940277777778,Q183,Allemagne,Q1206012 | Q183,Reich allemand | Allemagne,Q1206012 | Q183,Reich allemand | Allemagne,Q6323 | Q1202 | Q24221 | Q183 | Q1206012,Suisse-Saxonne-Monts-Métallifères-de-l'Est | Saxe | district de Dresde | Allemagne | Reich allemand
http://www.wikidata.org/entity/Q647987,Q647987,château de Gottorf,54.511666666667,9.5413888888889,Q183,Allemagne,Q183 | Q35,Allemagne | Danemark,Q183 | Q35,Allemagne | Danemark,Q501661 | Q2941 | Q1194,Schleswig | Schleswig-Flensbourg | Schleswig-Holstein
http://www.wikidata.org/entity/Q648,Q648,Lille,50.631944444444,3.0575,Q142,France,Q142,France,Q142,France,Q471969 | Q701510 | Q1725963 | Q1725908 | Q1725909 | Q1725912 | Q1384813 | Q1661825 | Q1233709 | Q1374129 | Q1284955 | Q12661 | Q18677767 | Q16987 | Q212429 | Q142,Métropole européenne de Lille | arrondissement de Lille | canton de Lomme | canton de Lille-Centre | canton de Lille-Est | canton de Lille-Nord | canton de Lille-Nord-Est | canton de Lille-Ouest | canton de Lille-Sud | canton de Lille-Sud-Est | canton de Lille-Sud-Ouest | Nord | Hauts-de-France | Nord-Pas-de-Calais | France métropolitaine | France
http://www.wikidata.org/entity/Q648586,Q648586,Dumbrăvioara,46.64096,24.637967,Q218 | Q842794 | Q2685298 | Q203493 | Q600018 | Q516160 | Q28513 | Q131964 | Q153136 | Q655621 | Q625380 | Q16056854,Roumanie | République socialiste de Roumanie | République populaire roumaine | royaume de Roumanie | Royaume de Hongrie | République démocratique hongroise | Autriche-Hongrie | empire d'Autriche | Monarchie de Habsbourg | Principauté de Transylvanie | royaume de Hongrie orientale | royaume de Hongrie,Q131964 | Q153136 | Q16056854 | Q203493 | Q218 | Q2685298 | Q28513 | Q516160 | Q600018 | Q625380 | Q655621 | Q842794,empire d'Autriche | Monarchie de Habsbourg | royaume de Hongrie | royaume de Roumanie | Roumanie | République populaire roumaine | Autriche-Hongrie | République démocratique hongroise | Royaume de Hongrie | royaume de Hongrie orientale | Principauté de Transylvanie | République socialiste de Roumanie,Q131964 | Q153136 | Q16056854 | Q203493 | Q218 | Q2685298 | Q28513 | Q516160 | Q600018 | Q625380 | Q655621 | Q842794,empire d'Autriche | Monarchie de Habsbourg | royaume de Hongrie | royaume de Roumanie | Roumanie | République populaire roumaine | Autriche-Hongrie | République démocratique hongroise | Royaume de Hongrie | royaume de Hongrie orientale | Principauté de Transylvanie | République socialiste de Roumanie,Q12104071 | Q190711 | Q218,Ernei | Mureș | Roumanie
