language_edition,place_affiliation_category,represented_entities,cohort_group_entities,language_represented_entities,cohort_total_entities,cohort_group_share_pct,language_group_share_pct,representation_rate_pct,representation_index
ptwiki,Ottoman,0,2,280,1638,0.12,0.0,0.0,0.0
ptwiki,Polish,0,2,280,1638,0.12,0.0,0.0,0.0
ptwiki,Slovak,0,1,280,1638,0.06,0.0,0.0,0.0
ptwiki,Slovene,0,1,280,1638,0.06,0.0,0.0,0.0
ptwiki,South Asian,0,1,280,1638,0.06,0.0,0.0,0.0
ptwiki,no_mapped_place_affiliation,0,1,280,1638,0.06,0.0,0.0,0.0
ruwiki,France,409,1265,581,1638,77.23,70.4,32.33,0.9116
ruwiki,mixed_or_ambiguous,98,222,581,1638,13.55,16.87,44.14,1.245
ruwiki,Russian,16,16,581,1638,0.98,2.75,100.0,2.8061
ruwiki,British,15,21,581,1638,1.28,2.58,71.43,2.0156
ruwiki,Germany,10,22,581,1638,1.34,1.72,45.45,1.2836
ruwiki,Swiss,9,26,581,1638,1.59,1.55,34.62,0.9748
ruwiki,Italian,7,18,581,1638,1.1,1.2,38.89,1.0909
ruwiki,Anglophone,6,9,581,1638,0.55,1.03,66.67,1.8727
ruwiki,Swedish,3,4,581,1638,0.24,0.52,75.0,2.1667
ruwiki,Spanish,2,11,581,1638,0.67,0.34,18.18,0.5075
ruwiki,Austrian/Habsburg,1,1,581,1638,0.06,0.17,100.0,2.8333
ruwiki,Czech,1,1,581,1638,0.06,0.17,100.0,2.8333
ruwiki,Estonian,1,1,581,1638,0.06,0.17,100.0,2.8333
ruwiki,Polish,1,2,581,1638,0.12,0.17,50.0,1.4167
ruwiki,Portuguese,1,1,581,1638,0.06,0.17,100.0,2.8333
ruwiki,no_mapped_place_affiliation,1,1,581,1638,0.06,0.17,100.0,2.8333
ruwiki,Danish,0,2,581,1638,0.12,0.0,0.0,0.0
ruwiki,Dutch,0,3,581,1638,0.18,0.0,0.0,0.0
ruwiki,Greek,0,1,581,1638,0.06,0.0,0.0,0.0
ruwiki,Haitian/Caribbean,0,2,581,1638,0.12,0.0,0.0,0.0
ruwiki,Hungarian,0,1,581,1638,0.06,0.0,0.0,0.0
ruwiki,Low Countries,0,3,581,1638,0.18,0.0,0.0,0.0
ruwiki,Ottoman,0,2,581,1638,0.12,0.0,0.0,0.0
ruwiki,Slovak,0,1,581,1638,0.06,0.0,0.0,0.0
ruwiki,Slovene,0,1,581,1638,0.06,0.0,0.0,0.0
ruwiki,South Asian,0,1,581,1638,0.06,0.0,0.0,0.0
svwiki,France,272,1265,408,1638,77.23,66.67,21.5,0.8633
svwiki,mixed_or_ambiguous,77,222,408,1638,13.55,18.87,34.68,1.3926
svwiki,British,13,21,408,1638,1.28,3.19,61.9,2.4922
svwiki,Germany,11,22,408,1638,1.34,2.7,50.0,2.0149
svwiki,Swiss,8,26,408,1638,1.59,1.96,30.77,1.2327
svwiki,Anglophone,6,9,408,1638,0.55,1.47,66.67,2.6727
svwiki,Italian,6,18,408,1638,1.1,1.47,33.33,1.3364
svwiki,Russian,4,16,408,1638,0.98,0.98,25.0,1.0
