wikidata_id,name,candidate_affiliation,possible_place_role_count,mapped_place_role_count,checked_place_role_count,place_score_share,supporting_place_roles,supporting_places,support_token_ids,birth_place_support,death_place_support,residence_support,work_location_support
http://www.wikidata.org/entity/Q28485769,Dmitrij Ivanovič Dmitrevskij,Russian,2,2,2,1.0,birth_place | death_place,Vladimir (Q2684) | gouvernement de Riazan (Q1540291),Q139319 | Q15180 | Q159 | Q186096 | Q2305208 | Q34266,True,True,False,False
http://www.wikidata.org/entity/Q928760,Dom Bédos de Celles,France,2,2,2,1.0,birth_place | death_place,Caux (Q195634) | Paris (Q90),Q142 | Q58296 | Q70972 | Q71084,True,True,False,False
http://www.wikidata.org/entity/Q5986198,Domenico Michelessi,Italian,2,2,1,0.5,birth_place,Spinetoli (Q56090),Q170174 | Q38,True,False,False,False
http://www.wikidata.org/entity/Q5986198,Domenico Michelessi,Swedish,2,2,1,0.5,death_place,Stockholm (Q1754),Q34,False,True,False,False
http://www.wikidata.org/entity/Q537945,Domingo Badía y Leblich,Ottoman,3,3,1,0.3333,death_place,Damas (Q3766),Q12560,False,True,False,False
http://www.wikidata.org/entity/Q537945,Domingo Badía y Leblich,Spanish,3,3,2,0.6667,birth_place | residence,Barcelone (Q1492) | Vera (Q1157971),Q29,True,False,True,False
http://www.wikidata.org/entity/Q1237060,Dominique Albert Azuni,France,3,3,1,0.3333,work_location,Paris (Q90),Q142 | Q58296 | Q70972 | Q71084,False,False,False,True
http://www.wikidata.org/entity/Q1237060,Dominique Albert Azuni,Italian,3,3,2,0.6667,birth_place | death_place,Cagliari (Q1897) | Sassari (Q13629),Q165154 | Q38,True,True,False,False
http://www.wikidata.org/entity/Q106618378,Dominique Aubertin,France,2,2,2,1.0,birth_place | death_place,Lunéville (Q208794),Q142 | Q70972,True,True,False,False
http://www.wikidata.org/entity/Q202386,Dominique Dufour de Pradt,France,3,3,3,1.0,birth_place | death_place | work_location,Paris (Q90) | canton d'Allanche (Q1251820),Q142 | Q58296 | Q70972 | Q71084,True,True,False,True
http://www.wikidata.org/entity/Q1238234,Dominique Joseph Garat,France,2,1,1,0.5,birth_place,Bayonne (Q134674),Q142,True,False,False,False
http://www.wikidata.org/entity/Q125255608,Dominique Lahetjuzan,France,2,2,2,1.0,birth_place | death_place,Sare (Q274155),Q142,True,True,False,False
http://www.wikidata.org/entity/Q971197,Dominique Martin Méon,France,2,2,2,1.0,birth_place | death_place,Paris (Q90) | Saint-Nicolas-de-Port (Q125278),Q142 | Q58296 | Q70972 | Q71084,True,True,False,False
http://www.wikidata.org/entity/Q3035422,Dominique Ricard,France,2,2,2,1.0,birth_place | death_place,Paris (Q90) | Toulouse (Q7880),Q142 | Q58296 | Q70972 | Q71084,True,True,False,False
http://www.wikidata.org/entity/Q468618,Dominique Vivant Denon,Austrian/Habsburg,3,3,1,0.3333,work_location,Venise (Q641),Q131964,False,False,False,True
http://www.wikidata.org/entity/Q468618,Dominique Vivant Denon,Egyptian,3,3,1,0.3333,work_location,Égypte (Q79),Q79,False,False,False,True
http://www.wikidata.org/entity/Q468618,Dominique Vivant Denon,France,3,3,3,1.0,birth_place | death_place | work_location,Chalon-sur-Saône (Q203645) | Paris (Q90) | Rome (Q220) | Venise (Q641),Q142 | Q58296 | Q70972 | Q71084,True,True,False,True
http://www.wikidata.org/entity/Q468618,Dominique Vivant Denon,German,3,3,1,0.3333,work_location,Munich (Q1726),Q2415901 | Q7318,False,False,False,True
http://www.wikidata.org/entity/Q468618,Dominique Vivant Denon,Germany,3,3,1,0.3333,work_location,Allemagne (Q183) | Autriche (Q40) | Munich (Q1726) | Venise (Q641),Q1206012 | Q153136 | Q183 | Q40 | Q41304 | Q43287,False,False,False,True
http://www.wikidata.org/entity/Q468618,Dominique Vivant Denon,Italian,3,3,1,0.3333,work_location,Italie (Q38) | Naples (Q2634) | Rome (Q220) | Venise (Q641),Q170174 | Q173065 | Q38 | Q4948,False,False,False,True
http://www.wikidata.org/entity/Q468618,Dominique Vivant Denon,Russian,3,3,1,0.3333,work_location,Russie (Q159),Q159,False,False,False,True
http://www.wikidata.org/entity/Q468618,Dominique Vivant Denon,Spanish,3,3,1,0.3333,work_location,Espagne (Q29),Q29,False,False,False,True
http://www.wikidata.org/entity/Q468618,Dominique Vivant Denon,Swiss,3,3,1,0.3333,work_location,Suisse (Q39),Q39,False,False,False,True
http://www.wikidata.org/entity/Q3034926,Dominique-Vincent Ramel-Nogaret,Dutch,3,3,1,0.3333,death_place,Bruxelles (Q9005),Q15864,False,True,False,False
http://www.wikidata.org/entity/Q3034926,Dominique-Vincent Ramel-Nogaret,France,3,3,3,1.0,birth_place | death_place | work_location,Bruxelles (Q9005) | Montolieu (Q173911) | Paris (Q90),Q142 | Q58296 | Q70972 | Q71084,True,True,False,True
http://www.wikidata.org/entity/Q3034926,Dominique-Vincent Ramel-Nogaret,Low Countries,3,3,1,0.3333,death_place,Bruxelles (Q9005),Q1031430 | Q31 | Q700283,False,True,False,False
http://www.wikidata.org/entity/Q4938988,Dorothea Biehl,Danish,2,2,2,1.0,birth_place | death_place,Copenhague (Q1748),Q35 | Q756617,True,True,False,False
http://www.wikidata.org/entity/Q77271,Dorothea Veit,France,3,3,1,0.3333,work_location,Cologne (Q365),Q71084,False,False,False,True
http://www.wikidata.org/entity/Q77271,Dorothea Veit,German,3,3,3,1.0,birth_place | death_place | work_location,Berlin (Q64) | Cologne (Q365) | Francfort-sur-le-Main (Q1794),Q12548 | Q2415901 | Q55300 | Q7318,True,True,False,True
http://www.wikidata.org/entity/Q77271,Dorothea Veit,Germany,3,3,3,1.0,birth_place | death_place | work_location,Berlin (Q64) | Cologne (Q365) | Francfort-sur-le-Main (Q1794),Q1206012 | Q183 | Q27306 | Q41304 | Q43287,True,True,False,True
http://www.wikidata.org/entity/Q62391224,Dufresnel,France,2,2,2,1.0,birth_place | death_place,Alençon (Q181269) | Valenciennes (Q163795),Q142,True,True,False,False
http://www.wikidata.org/entity/Q62391224,Dufresnel,Low Countries,2,2,1,0.5,death_place,Valenciennes (Q163795),Q6581823,False,True,False,False
http://www.wikidata.org/entity/Q3041146,Dumaniant,France,2,2,2,1.0,birth_place | death_place,Clermont-Ferrand (Q42168) | ancien 6e arrondissement de Paris (Q2845758),Q142 | Q70972,True,True,False,False
http://www.wikidata.org/entity/Q3044508,Démétrius Stephanopoli de Comnène,France,2,2,2,1.0,birth_place | death_place,Cargèse (Q391964) | Paris (Q90),Q142 | Q58296 | Q70972 | Q71084,True,True,False,False
http://www.wikidata.org/entity/Q124079228,Edme Billard-Dumonceau,France,2,2,2,1.0,birth_place | death_place,Nancy (Q40898),Q142 | Q70972,True,True,False,False
http://www.wikidata.org/entity/Q1285485,Edme Mentelle,France,2,2,2,1.0,birth_place | death_place,Paris (Q90),Q142 | Q58296 | Q70972 | Q71084,True,True,False,False
http://www.wikidata.org/entity/Q18197568,Edmond Géraud,France,2,2,2,1.0,birth_place | death_place,Bordeaux (Q1479) | France (Q142),Q142,True,True,False,False
http://www.wikidata.org/entity/Q3047880,Edmond Jean François Barbier,France,2,2,2,1.0,birth_place | death_place,Paris (Q90),Q142 | Q58296 | Q70972 | Q71084,True,True,False,False
http://www.wikidata.org/entity/Q15523940,Edmond de Favières,France,2,2,2,1.0,birth_place | death_place,Banthelu (Q251242) | Paris (Q90),Q142 | Q58296 | Q70972 | Q71084,True,True,False,False
http://www.wikidata.org/entity/Q713749,Edmond-Charles Genêt,Anglophone,2,2,1,0.5,death_place,East Greenbush (Q986308),Q30,False,True,False,False
http://www.wikidata.org/entity/Q713749,Edmond-Charles Genêt,France,2,2,1,0.5,birth_place,Versailles (Q621),Q142 | Q70972,True,False,False,False
http://www.wikidata.org/entity/Q1383530,Edmé-François Mallet,France,2,2,2,1.0,birth_place | death_place,Châteaurenard (Q474021) | Melun (Q41139),Q142,True,True,False,False
http://www.wikidata.org/entity/Q16326344,Edmé-François-Antoine-Marie Miel,France,2,2,2,1.0,birth_place | death_place,Châtillon-sur-Seine (Q244707) | Paris (Q90),Q142 | Q58296 | Q70972 | Q71084,True,True,False,False
http://www.wikidata.org/entity/Q161841,Edward Gibbon,British,3,3,3,1.0,birth_place | death_place | residence,Londres (Q84) | Putney (Q2465220),Q145 | Q161885 | Q174193 | Q179876 | Q21,True,True,True,False
