wikidata_id,name,candidate_affiliation,possible_box_count,citizenship_support,native_language_support,spoken_written_language_support,writing_language_support,checked_box_count,score_share
http://www.wikidata.org/entity/Q4212859,Pierre Capelle,French,3,False,False,True,True,2,0.6667
http://www.wikidata.org/entity/Q3384326,Pierre Caze,France,2,True,False,False,False,1,0.5
http://www.wikidata.org/entity/Q3384326,Pierre Caze,French,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q86088234,Pierre Charles Berthelin,France,3,True,False,False,False,1,0.3333
http://www.wikidata.org/entity/Q86088234,Pierre Charles Berthelin,French,3,False,False,True,True,2,0.6667
http://www.wikidata.org/entity/Q3384395,Pierre Chastelain,France,3,True,False,False,False,1,0.3333
http://www.wikidata.org/entity/Q3384395,Pierre Chastelain,French,3,False,False,True,True,2,0.6667
http://www.wikidata.org/entity/Q212476,Pierre Choderlos de Laclos,France,4,True,False,False,False,1,0.25
http://www.wikidata.org/entity/Q212476,Pierre Choderlos de Laclos,French,4,False,True,True,True,3,0.75
http://www.wikidata.org/entity/Q505555,Pierre Claude Victor Boiste,France,3,True,False,False,False,1,0.3333
http://www.wikidata.org/entity/Q505555,Pierre Claude Victor Boiste,French,3,False,False,True,True,2,0.6667
http://www.wikidata.org/entity/Q72013762,Pierre Cyprien Aubry,France,1,True,False,False,False,1,1.0
http://www.wikidata.org/entity/Q3384589,Pierre Cérou,France,2,True,False,False,False,1,0.5
http://www.wikidata.org/entity/Q3384589,Pierre Cérou,French,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q715144,Pierre Daru,France,4,True,False,False,False,1,0.25
http://www.wikidata.org/entity/Q715144,Pierre Daru,French,4,False,True,True,True,3,0.75
http://www.wikidata.org/entity/Q88060630,Pierre Daudé,Anglophone,3,False,False,True,False,1,0.3333
http://www.wikidata.org/entity/Q88060630,Pierre Daudé,British,3,True,False,False,False,1,0.3333
http://www.wikidata.org/entity/Q88060630,Pierre Daudé,France,3,True,False,False,False,1,0.3333
http://www.wikidata.org/entity/Q88060630,Pierre Daudé,French,3,False,False,True,True,2,0.6667
http://www.wikidata.org/entity/Q3384734,Pierre Desloges,France,2,True,False,False,False,1,0.5
http://www.wikidata.org/entity/Q3384734,Pierre Desloges,French,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q3384761,Pierre Didot,France,2,True,False,False,False,1,0.5
http://www.wikidata.org/entity/Q3384761,Pierre Didot,French,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q969823,Pierre Dupont de l'Étang,France,3,True,False,False,False,1,0.3333
http://www.wikidata.org/entity/Q969823,Pierre Dupont de l'Étang,French,3,False,True,True,False,2,0.6667
http://www.wikidata.org/entity/Q55456238,Pierre Fulcrand de Rosset,France,2,True,False,False,False,1,0.5
http://www.wikidata.org/entity/Q55456238,Pierre Fulcrand de Rosset,French,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q3385127,Pierre Gallet,France,2,True,False,False,False,1,0.5
http://www.wikidata.org/entity/Q3385127,Pierre Gallet,French,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q55599010,Pierre Gallet,France,4,True,False,False,False,1,0.25
http://www.wikidata.org/entity/Q55599010,Pierre Gallet,French,4,False,True,True,True,3,0.75
http://www.wikidata.org/entity/Q95914910,Pierre Gras du Villard,France,2,True,False,False,False,1,0.5
http://www.wikidata.org/entity/Q95914910,Pierre Gras du Villard,French,2,False,False,True,False,1,0.5
