wikidata_id,name,source_row_count,birth_year_values,birth_place_values,occupation_raw,citizenship_ids,native_language_ids,spoken_written_language_ids,writing_language_ids,gender_ids,ethnic_group_ids,occupation_ids,occupation_labels,writerly_occupation_ids,nonwriter_occupation_ids,entity_label_languages,entity_description_languages,duplicate_row_count,wikipedia_sitelink_count,european_label_count,european_description_count,has_duplicate_wikidata_id,name_is_qid,birth_place_is_qid,viaf_has_conflict,has_frwiki,has_enwiki,has_dewiki,has_itwiki,has_eswiki,has_plwiki,has_ruwiki,has_ukwiki,has_nlwiki,has_ptwiki,has_svwiki,has_dawiki,gender_category,occupation_raw_tokens,place_evidence_role_count,mapped_place_role_count,place_candidate_affiliation_count,best_place_candidate_affiliation,top_place_candidate_affiliations,top_place_checked_role_count,second_place_checked_role_count,top_place_score_share,top_place_candidate_tie_count,place_affiliation_review_status,place_affiliation_category
http://www.wikidata.org/entity/Q13575,François Quesnay,1,1694,Méré,écrivain ou écrivaine,Q142,,Q1321 | Q150,Q150,Q6581097,,Q18805 | Q188094 | Q36180 | Q39631 | Q4964182 | Q744738 | Q774306,chirurgien ou chirurgienne | encyclopédiste | médecin | naturaliste | philosophe | économiste | écrivain ou écrivaine,Q36180,Q18805 | Q188094 | Q39631 | Q4964182 | Q744738 | Q774306,da | de | en | es | fr | it | nl | pl | pt | ru | sv | uk,da | de | en | es | fr | it | nl | pl | ru | sv,1,53,12,10,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,male,écrivain ou écrivaine,2,2,1,France,France,2,0,1.0,1,tentative_place,France
http://www.wikidata.org/entity/Q3085689,François Richard,1,1733,Limoges,"poète ou poétesse, écrivain ou écrivaine",Q142,,Q14185,Q14185,Q6581097,,Q20794925 | Q250867 | Q36180 | Q49757 | Q50498254,chanoine ad honorem | poète ou poétesse | principal de collège | prêtre catholique | écrivain ou écrivaine,Q36180 | Q49757,Q20794925 | Q250867 | Q50498254,da | de | en | es | fr | it | nl | ru | sv,da | en | es | fr | it | nl | pt | sv,1,2,9,8,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,male,poète ou poétesse | écrivain ou écrivaine,2,2,1,France,France,2,0,1.0,1,tentative_place,France
http://www.wikidata.org/entity/Q556735,François Robichon de La Guérinière,1,1688,Essay,écrivain ou écrivaine,Q142,,Q150,,Q6581097,,Q13381458 | Q201788 | Q36180,cavalier de dressage | historien ou historienne | écrivain ou écrivaine,Q36180,Q13381458 | Q201788,da | de | en | es | fr | it | nl | ru | sv,de | en | es | it | nl,1,9,9,5,False,False,False,False,True,True,True,True,True,False,True,False,True,False,True,False,male,écrivain ou écrivaine,2,2,1,France,France,2,0,1.0,1,tentative_place,France
http://www.wikidata.org/entity/Q1445906,François Rodolphe de Weiss,1,1751,Yverdon-les-Bains,écrivain ou écrivaine,Q39,,Q150 | Q188,Q150,Q6581097,,Q189290 | Q193391 | Q36180 | Q4964182 | Q82955,diplomate | officier | personnalité politique | philosophe | écrivain ou écrivaine,Q36180,Q189290 | Q193391 | Q4964182 | Q82955,da | de | en | es | fr | it | nl | pl | pt | ru | sv,de | en | nl | ru,1,6,11,4,False,False,False,False,True,True,True,False,False,False,True,False,False,False,False,False,male,écrivain ou écrivaine,2,2,1,Swiss,Swiss,2,0,1.0,1,tentative_place,Swiss
http://www.wikidata.org/entity/Q73162055,François Soulès,1,1748,Boulogne-sur-Mer,écrivain ou écrivaine,Q142,,,,Q6581097,,Q333634 | Q36180,traducteur ou traductrice | écrivain ou écrivaine,Q36180,Q333634,de | en | es | fr | nl,en | uk,1,1,5,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,male,écrivain ou écrivaine,2,2,1,France,France,2,0,1.0,1,tentative_place,France
http://www.wikidata.org/entity/Q120886421,François Tribolet,1,1768,Foix,"poète ou poétesse, écrivain ou écrivaine",Q142,,Q14185 | Q150,Q14185 | Q150,Q6581097,,Q120886563 | Q156839 | Q36180 | Q49757,cuisinier ou cuisinière | poète ou poétesse | secrétaire-greffier | écrivain ou écrivaine,Q36180 | Q49757,Q120886563 | Q156839,en | fr,,1,0,2,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,male,poète ou poétesse | écrivain ou écrivaine,2,2,1,France,France,2,0,1.0,1,tentative_place,France
http://www.wikidata.org/entity/Q3085931,François Tronchin,1,1704,Genève,écrivain ou écrivaine,Q23366230,,Q150,,Q6581097,,Q10732476 | Q15472169 | Q36180 | Q40348 | Q806798,avocat ou avocate | banquier | collectionneur ou collectionneuse d'œuvres d'art | mécène | écrivain ou écrivaine,Q36180,Q10732476 | Q15472169 | Q40348 | Q806798,da | de | en | es | fr | it | nl | pt | ru | sv,en | fr | nl,1,5,10,3,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,male,écrivain ou écrivaine,3,3,2,,France | Swiss,3,3,1.0,2,mixed_place_top_score,mixed_or_ambiguous
http://www.wikidata.org/entity/Q22978201,François Vernes,1,1765,Céligny,"poète ou poétesse, écrivain ou écrivaine",Q142 | Q23366230 | Q39,,Q150,Q150,Q6581097,,Q36180 | Q49757,poète ou poétesse | écrivain ou écrivaine,Q36180 | Q49757,,de | en | es | fr | it | nl | ru,de | en | fr | nl,1,1,7,4,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,male,poète ou poétesse | écrivain ou écrivaine,2,2,2,Swiss,Swiss,2,1,1.0,1,tentative_place,Swiss
http://www.wikidata.org/entity/Q108309935,François Villeroi,1,1771,Tours,poète ou poétesse,Q142,,,,Q6581097,,Q1229025 | Q49757,poète ou poétesse | typographe,Q49757,Q1229025,en | fr | nl,nl,1,1,3,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,male,poète ou poétesse,2,2,1,France,France,2,0,1.0,1,tentative_place,France
http://www.wikidata.org/entity/Q3086088,François d'Escherny,1,1733,Lyon,écrivain ou écrivaine,Q39,,Q150,Q150,Q6581097,,Q193391 | Q36180 | Q4964182 | Q82955,diplomate | personnalité politique | philosophe | écrivain ou écrivaine,Q36180,Q193391 | Q4964182 | Q82955,da | de | en | es | fr | it | nl | pl | pt | ru | sv,de | en | fr | nl,1,2,11,4,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,male,écrivain ou écrivaine,2,2,1,France,France,2,0,1.0,1,tentative_place,France
