wikidata_id,name,language_edition,has_article,wikipedia_sitelink_count,gender_category,affiliation_category,place_affiliation_category,best_place_candidate_affiliation,top_place_candidate_affiliations,place_affiliation_review_status,top_candidate_affiliations,affiliation_review_status,has_duplicate_wikidata_id,viaf_has_conflict
http://www.wikidata.org/entity/Q2820884,Abbé de La Marre,nlwiki,False,2,male,mixed_or_ambiguous,mixed_or_ambiguous,,Czech | France | German | Germany,mixed_place_top_score,France | French,mixed_top_score,False,False
http://www.wikidata.org/entity/Q2820884,Abbé de La Marre,ptwiki,False,2,male,mixed_or_ambiguous,mixed_or_ambiguous,,Czech | France | German | Germany,mixed_place_top_score,France | French,mixed_top_score,False,False
http://www.wikidata.org/entity/Q2820884,Abbé de La Marre,svwiki,False,2,male,mixed_or_ambiguous,mixed_or_ambiguous,,Czech | France | German | Germany,mixed_place_top_score,France | French,mixed_top_score,False,False
http://www.wikidata.org/entity/Q2820884,Abbé de La Marre,dawiki,False,2,male,mixed_or_ambiguous,mixed_or_ambiguous,,Czech | France | German | Germany,mixed_place_top_score,France | French,mixed_top_score,False,False
http://www.wikidata.org/entity/Q206191,Abigail Adams,frwiki,True,64,female,Anglophone,Anglophone,Anglophone,Anglophone,strong_place,Anglophone,strong,False,False
http://www.wikidata.org/entity/Q206191,Abigail Adams,enwiki,True,64,female,Anglophone,Anglophone,Anglophone,Anglophone,strong_place,Anglophone,strong,False,False
http://www.wikidata.org/entity/Q206191,Abigail Adams,dewiki,True,64,female,Anglophone,Anglophone,Anglophone,Anglophone,strong_place,Anglophone,strong,False,False
http://www.wikidata.org/entity/Q206191,Abigail Adams,itwiki,True,64,female,Anglophone,Anglophone,Anglophone,Anglophone,strong_place,Anglophone,strong,False,False
http://www.wikidata.org/entity/Q206191,Abigail Adams,eswiki,True,64,female,Anglophone,Anglophone,Anglophone,Anglophone,strong_place,Anglophone,strong,False,False
http://www.wikidata.org/entity/Q206191,Abigail Adams,plwiki,True,64,female,Anglophone,Anglophone,Anglophone,Anglophone,strong_place,Anglophone,strong,False,False
http://www.wikidata.org/entity/Q206191,Abigail Adams,ruwiki,True,64,female,Anglophone,Anglophone,Anglophone,Anglophone,strong_place,Anglophone,strong,False,False
http://www.wikidata.org/entity/Q206191,Abigail Adams,ukwiki,True,64,female,Anglophone,Anglophone,Anglophone,Anglophone,strong_place,Anglophone,strong,False,False
http://www.wikidata.org/entity/Q206191,Abigail Adams,nlwiki,True,64,female,Anglophone,Anglophone,Anglophone,Anglophone,strong_place,Anglophone,strong,False,False
http://www.wikidata.org/entity/Q206191,Abigail Adams,ptwiki,True,64,female,Anglophone,Anglophone,Anglophone,Anglophone,strong_place,Anglophone,strong,False,False
http://www.wikidata.org/entity/Q206191,Abigail Adams,svwiki,True,64,female,Anglophone,Anglophone,Anglophone,Anglophone,strong_place,Anglophone,strong,False,False
http://www.wikidata.org/entity/Q206191,Abigail Adams,dawiki,True,64,female,Anglophone,Anglophone,Anglophone,Anglophone,strong_place,Anglophone,strong,False,False
http://www.wikidata.org/entity/Q330879,Abraham von Humbert,frwiki,False,1,male,mixed_or_ambiguous,mixed_or_ambiguous,,German | Germany,mixed_place_top_score,French | German | Germany,mixed_top_score,False,False
http://www.wikidata.org/entity/Q330879,Abraham von Humbert,enwiki,False,1,male,mixed_or_ambiguous,mixed_or_ambiguous,,German | Germany,mixed_place_top_score,French | German | Germany,mixed_top_score,False,False
http://www.wikidata.org/entity/Q330879,Abraham von Humbert,dewiki,True,1,male,mixed_or_ambiguous,mixed_or_ambiguous,,German | Germany,mixed_place_top_score,French | German | Germany,mixed_top_score,False,False
http://www.wikidata.org/entity/Q330879,Abraham von Humbert,itwiki,False,1,male,mixed_or_ambiguous,mixed_or_ambiguous,,German | Germany,mixed_place_top_score,French | German | Germany,mixed_top_score,False,False
http://www.wikidata.org/entity/Q330879,Abraham von Humbert,eswiki,False,1,male,mixed_or_ambiguous,mixed_or_ambiguous,,German | Germany,mixed_place_top_score,French | German | Germany,mixed_top_score,False,False
http://www.wikidata.org/entity/Q330879,Abraham von Humbert,plwiki,False,1,male,mixed_or_ambiguous,mixed_or_ambiguous,,German | Germany,mixed_place_top_score,French | German | Germany,mixed_top_score,False,False
http://www.wikidata.org/entity/Q330879,Abraham von Humbert,ruwiki,False,1,male,mixed_or_ambiguous,mixed_or_ambiguous,,German | Germany,mixed_place_top_score,French | German | Germany,mixed_top_score,False,False
http://www.wikidata.org/entity/Q330879,Abraham von Humbert,ukwiki,False,1,male,mixed_or_ambiguous,mixed_or_ambiguous,,German | Germany,mixed_place_top_score,French | German | Germany,mixed_top_score,False,False
http://www.wikidata.org/entity/Q330879,Abraham von Humbert,nlwiki,False,1,male,mixed_or_ambiguous,mixed_or_ambiguous,,German | Germany,mixed_place_top_score,French | German | Germany,mixed_top_score,False,False
http://www.wikidata.org/entity/Q330879,Abraham von Humbert,ptwiki,False,1,male,mixed_or_ambiguous,mixed_or_ambiguous,,German | Germany,mixed_place_top_score,French | German | Germany,mixed_top_score,False,False
http://www.wikidata.org/entity/Q330879,Abraham von Humbert,svwiki,False,1,male,mixed_or_ambiguous,mixed_or_ambiguous,,German | Germany,mixed_place_top_score,French | German | Germany,mixed_top_score,False,False
http://www.wikidata.org/entity/Q330879,Abraham von Humbert,dawiki,False,1,male,mixed_or_ambiguous,mixed_or_ambiguous,,German | Germany,mixed_place_top_score,French | German | Germany,mixed_top_score,False,False
http://www.wikidata.org/entity/Q78785,Adam von Bartsch,frwiki,True,14,male,German,mixed_or_ambiguous,,Austrian/Habsburg | German | Germany,mixed_place_top_score,German,tentative,False,False
http://www.wikidata.org/entity/Q78785,Adam von Bartsch,enwiki,True,14,male,German,mixed_or_ambiguous,,Austrian/Habsburg | German | Germany,mixed_place_top_score,German,tentative,False,False
