wikidata_id,person_id,name,candidate_affiliation_count,best_candidate_affiliation,top_candidate_affiliations,top_supporting_evidence_count,second_supporting_evidence_count,top_candidate_tie_count,available_mapped_evidence_count,total_evidence_fields,top_score_over_total_fields,top_score_over_available_fields,score_formula,available_score_formula
http://www.wikidata.org/entity/Q56007090,Q56007090,Jacques Nicolas Brunot,2,France,France,3,1,1,4,8,0.375,0.75,3 / 8,3 / 4
http://www.wikidata.org/entity/Q560142,Q560142,Jean Astruc,2,France,France,3,1,1,4,8,0.375,0.75,3 / 8,3 / 4
http://www.wikidata.org/entity/Q56014252,Q56014252,Louis Pierre Prudent Legay,2,France,France,2,1,1,3,8,0.25,0.6667,2 / 8,2 / 3
http://www.wikidata.org/entity/Q56062338,Q56062338,Pierre-Joseph de Solignac,2,France,France,2,1,1,3,8,0.25,0.6667,2 / 8,2 / 3
http://www.wikidata.org/entity/Q56062794,Q56062794,Joseph Marie Loaisel de Tréogate,2,France,France,3,1,1,4,8,0.375,0.75,3 / 8,3 / 4
http://www.wikidata.org/entity/Q56085770,Q56085770,Louis-Victor Flamand-Grétry,2,France,France,3,1,1,4,8,0.375,0.75,3 / 8,3 / 4
http://www.wikidata.org/entity/Q56102397,Q56102397,Antoine de Charbonnières,2,France,France,3,1,1,4,8,0.375,0.75,3 / 8,3 / 4
http://www.wikidata.org/entity/Q561212,Q561212,Sylvain Maréchal,2,,France | French,3,0,2,6,8,0.375,0.5,3 / 8,3 / 6
http://www.wikidata.org/entity/Q561218,Q561218,Henri Grégoire,2,France,France,4,3,1,7,8,0.5,0.5714,4 / 8,4 / 7
http://www.wikidata.org/entity/Q561729,Q561729,Jean-Sifrein Maury,3,France,France,4,2,1,6,8,0.5,0.6667,4 / 8,4 / 6
http://www.wikidata.org/entity/Q5625802,Q5625802,Jacopo Durandi,3,Italian,Italian,4,1,1,4,8,0.5,1.0,4 / 8,4 / 4
http://www.wikidata.org/entity/Q56452221,Q56452221,Adrienne-Madeleine Dusillet,2,France,France,2,1,1,3,8,0.25,0.6667,2 / 8,2 / 3
http://www.wikidata.org/entity/Q564845,Q564845,François-Vincent Toussaint,4,French,French,3,2,1,6,8,0.375,0.5,3 / 8,3 / 6
http://www.wikidata.org/entity/Q56753780,Q56753780,Marie-Amable Petiteau,2,France,France,3,2,1,5,8,0.375,0.6,3 / 8,3 / 5
http://www.wikidata.org/entity/Q57280,Q57280,Johann Joachim Winckelmann,5,Germany,Germany,3,2,1,5,8,0.375,0.6,3 / 8,3 / 5
http://www.wikidata.org/entity/Q57281,Q57281,Auguste Schlegel,5,German,German,6,3,1,6,8,0.75,1.0,6 / 8,6 / 6
http://www.wikidata.org/entity/Q573712,Q573712,Pierre Samuel du Pont de Nemours,3,,France | French,3,1,2,7,8,0.375,0.4286,3 / 8,3 / 7
http://www.wikidata.org/entity/Q58062,Q58062,Georg Forster,5,German,German,4,2,1,6,8,0.5,0.6667,4 / 8,4 / 6
http://www.wikidata.org/entity/Q58196956,Q58196956,Antoine Le Blanc de Guillet,2,France,France,3,1,1,4,8,0.375,0.75,3 / 8,3 / 4
http://www.wikidata.org/entity/Q58231402,Q58231402,Johann Rudolf Frey,2,,French | Swiss,1,0,2,2,8,0.125,0.5,1 / 8,1 / 2
http://www.wikidata.org/entity/Q584990,Q584990,Louis de Jaucourt,3,,France | French,3,1,2,6,8,0.375,0.5,3 / 8,3 / 6
http://www.wikidata.org/entity/Q585422,Q585422,Antoine Joseph Dezallier d'Argenville,3,France,France,4,2,1,6,8,0.5,0.6667,4 / 8,4 / 6
http://www.wikidata.org/entity/Q585534,Q585534,Antoine-Léonard Chézy,2,France,France,3,2,1,5,8,0.375,0.6,3 / 8,3 / 5
http://www.wikidata.org/entity/Q585558,Q585558,Antoine-Vincent Arnault,2,France,France,4,2,1,6,8,0.5,0.6667,4 / 8,4 / 6
http://www.wikidata.org/entity/Q585856,Q585856,Emmanuel de Las Cases,2,,France | French,3,0,2,6,8,0.375,0.5,3 / 8,3 / 6
http://www.wikidata.org/entity/Q585889,Q585889,Antoine Court,3,France,France,2,1,1,4,8,0.25,0.5,2 / 8,2 / 4
http://www.wikidata.org/entity/Q585905,Q585905,Antoine Court de Gébelin,3,,France | French,3,1,2,6,8,0.375,0.5,3 / 8,3 / 6
http://www.wikidata.org/entity/Q586123,Q586123,Antoine Fabre d'Olivet,3,France,France,3,2,1,5,8,0.375,0.6,3 / 8,3 / 5
http://www.wikidata.org/entity/Q586221,Q586221,Antoine Gaubil,4,France,France,2,1,1,4,8,0.25,0.5,2 / 8,2 / 4
http://www.wikidata.org/entity/Q586321,Q586321,Antoine Guenée,2,France,France,3,1,1,4,8,0.375,0.75,3 / 8,3 / 4
http://www.wikidata.org/entity/Q586494,Q586494,Antoine Jay,2,France,France,4,3,1,7,8,0.5,0.5714,4 / 8,4 / 7
http://www.wikidata.org/entity/Q586980,Q586980,Antoine Sabatier de Castres,2,,France | French,3,0,2,6,8,0.375,0.5,3 / 8,3 / 6
http://www.wikidata.org/entity/Q5875870,Q5875870,Gaspar Zavala y Zamora,2,Spanish,Spanish,3,1,1,3,8,0.375,1.0,3 / 8,3 / 3
http://www.wikidata.org/entity/Q589562,Q589562,Adélaïde de Souza,2,France,France,4,3,1,7,8,0.5,0.5714,4 / 8,4 / 7
http://www.wikidata.org/entity/Q591429,Q591429,Martin Duhalde,3,France,France,3,2,1,5,8,0.375,0.6,3 / 8,3 / 5
http://www.wikidata.org/entity/Q5928631,Q5928631,Jean-Baptiste de Secondat,3,France,France,3,1,1,4,8,0.375,0.75,3 / 8,3 / 4
http://www.wikidata.org/entity/Q5932430,Q5932430,Joaquín Traggia,4,Spanish,Spanish,4,1,1,4,8,0.5,1.0,4 / 8,4 / 4
http://www.wikidata.org/entity/Q59390981,Q59390981,Alexandre-Joseph de Rouville,2,,France | French,2,0,2,4,8,0.25,0.5,2 / 8,2 / 4
http://www.wikidata.org/entity/Q595486,Q595486,Anton Wilhelm Amo,4,,German | Gold Coast/African,2,1,2,3,8,0.25,0.6667,2 / 8,2 / 3
http://www.wikidata.org/entity/Q5986198,Q5986198,Domenico Michelessi,3,,Italian | Swedish,2,1,2,3,8,0.25,0.6667,2 / 8,2 / 3
http://www.wikidata.org/entity/Q6004534,Q6004534,María Rosa de Gálvez,2,Spanish,Spanish,6,1,1,6,8,0.75,1.0,6 / 8,6 / 6
http://www.wikidata.org/entity/Q60151324,Q60151324,Philippe Louis Gérard,2,France,France,3,1,1,4,8,0.375,0.75,3 / 8,3 / 4
http://www.wikidata.org/entity/Q60247,Q60247,Johann Bernhard Basedow,5,German,German,6,3,1,6,8,0.75,1.0,6 / 8,6 / 6
http://www.wikidata.org/entity/Q603987,Q603987,Auguste Hilarion de Kératry,2,France,France,4,3,1,7,8,0.5,0.5714,4 / 8,4 / 7
