language_edition,affiliation_category,represented_entities,cohort_group_entities,language_represented_entities,cohort_total_entities,cohort_group_share_pct,language_group_share_pct,representation_rate_pct,representation_index
eswiki,Basque,0,2,470,1638,0.12,0.0,0.0,0.0
eswiki,Low Countries,0,1,470,1638,0.06,0.0,0.0,0.0
eswiki,Ottoman,0,1,470,1638,0.06,0.0,0.0,0.0
eswiki,Serbian,0,1,470,1638,0.06,0.0,0.0,0.0
frwiki,French,725,780,1393,1638,47.62,52.05,92.95,1.093
frwiki,mixed_or_ambiguous,542,672,1393,1638,41.03,38.91,80.65,0.9483
frwiki,France,29,49,1393,1638,2.99,2.08,59.18,0.6957
frwiki,German,18,20,1393,1638,1.22,1.29,90.0,1.0574
frwiki,Italian,18,22,1393,1638,1.34,1.29,81.82,0.9627
frwiki,Anglophone,15,16,1393,1638,0.98,1.08,93.75,1.102
frwiki,Occitan,8,11,1393,1638,0.67,0.57,72.73,0.8507
frwiki,Spanish,8,14,1393,1638,0.85,0.57,57.14,0.6706
frwiki,Polish,7,9,1393,1638,0.55,0.5,77.78,0.9091
frwiki,Swedish,5,5,1393,1638,0.31,0.36,100.0,1.1613
frwiki,Russian,4,17,1393,1638,1.04,0.29,23.53,0.2788
frwiki,Danish,3,5,1393,1638,0.31,0.22,60.0,0.7097
frwiki,Greek,2,2,1393,1638,0.12,0.14,100.0,1.1667
frwiki,Arabic,1,1,1393,1638,0.06,0.07,100.0,1.1667
frwiki,Basque,1,2,1393,1638,0.12,0.07,50.0,0.5833
frwiki,Corsican,1,1,1393,1638,0.06,0.07,100.0,1.1667
frwiki,Czech,1,1,1393,1638,0.06,0.07,100.0,1.1667
frwiki,Dutch,1,3,1393,1638,0.18,0.07,33.33,0.3889
frwiki,Hungarian,1,4,1393,1638,0.24,0.07,25.0,0.2917
frwiki,Low Countries,1,1,1393,1638,0.06,0.07,100.0,1.1667
frwiki,Portuguese,1,1,1393,1638,0.06,0.07,100.0,1.1667
frwiki,Serbian,1,1,1393,1638,0.06,0.07,100.0,1.1667
frwiki,Ottoman,0,1,1393,1638,0.06,0.0,0.0,0.0
itwiki,French,317,780,542,1638,47.62,58.49,40.64,1.2283
itwiki,mixed_or_ambiguous,152,672,542,1638,41.03,28.04,22.62,0.6834
itwiki,Italian,16,22,542,1638,1.34,2.95,72.73,2.2015
itwiki,Anglophone,15,16,542,1638,0.98,2.77,93.75,2.8265
itwiki,German,12,20,542,1638,1.22,2.21,60.0,1.8115
itwiki,Russian,7,17,542,1638,1.04,1.29,41.18,1.2404
itwiki,Polish,6,9,542,1638,0.55,1.11,66.67,2.0182
itwiki,Spanish,4,14,542,1638,0.85,0.74,28.57,0.8706
itwiki,Swedish,3,5,542,1638,0.31,0.55,60.0,1.7742
itwiki,Danish,2,5,542,1638,0.31,0.37,40.0,1.1935
itwiki,France,2,49,542,1638,2.99,0.37,4.08,0.1237
itwiki,Greek,2,2,542,1638,0.12,0.37,100.0,3.0833
itwiki,Corsican,1,1,542,1638,0.06,0.18,100.0,3.0
itwiki,Czech,1,1,542,1638,0.06,0.18,100.0,3.0
itwiki,Dutch,1,3,542,1638,0.18,0.18,33.33,1.0
itwiki,Portuguese,1,1,542,1638,0.06,0.18,100.0,3.0
itwiki,Arabic,0,1,542,1638,0.06,0.0,0.0,0.0
itwiki,Basque,0,2,542,1638,0.12,0.0,0.0,0.0
itwiki,Hungarian,0,4,542,1638,0.24,0.0,0.0,0.0
itwiki,Low Countries,0,1,542,1638,0.06,0.0,0.0,0.0
itwiki,Occitan,0,11,542,1638,0.67,0.0,0.0,0.0
itwiki,Ottoman,0,1,542,1638,0.06,0.0,0.0,0.0
itwiki,Serbian,0,1,542,1638,0.06,0.0,0.0,0.0
nlwiki,French,144,780,253,1638,47.62,56.92,18.46,1.1953
nlwiki,mixed_or_ambiguous,68,672,253,1638,41.03,26.88,10.12,0.6551
nlwiki,Anglophone,14,16,253,1638,0.98,5.53,87.5,5.6429
nlwiki,German,10,20,253,1638,1.22,3.95,50.0,3.2377
nlwiki,Italian,4,22,253,1638,1.34,1.58,18.18,1.1791
nlwiki,Greek,2,2,253,1638,0.12,0.79,100.0,6.5833
nlwiki,Polish,2,9,253,1638,0.55,0.79,22.22,1.4364
nlwiki,Russian,2,17,253,1638,1.04,0.79,11.76,0.7596
nlwiki,Swedish,2,5,253,1638,0.31,0.79,40.0,2.5484
nlwiki,Arabic,1,1,253,1638,0.06,0.4,100.0,6.6667
nlwiki,Corsican,1,1,253,1638,0.06,0.4,100.0,6.6667
nlwiki,Czech,1,1,253,1638,0.06,0.4,100.0,6.6667
nlwiki,Dutch,1,3,253,1638,0.18,0.4,33.33,2.2222
nlwiki,Low Countries,1,1,253,1638,0.06,0.4,100.0,6.6667
nlwiki,Basque,0,2,253,1638,0.12,0.0,0.0,0.0
nlwiki,Danish,0,5,253,1638,0.31,0.0,0.0,0.0
nlwiki,France,0,49,253,1638,2.99,0.0,0.0,0.0
nlwiki,Hungarian,0,4,253,1638,0.24,0.0,0.0,0.0
nlwiki,Occitan,0,11,253,1638,0.67,0.0,0.0,0.0
nlwiki,Ottoman,0,1,253,1638,0.06,0.0,0.0,0.0
nlwiki,Portuguese,0,1,253,1638,0.06,0.0,0.0,0.0
nlwiki,Serbian,0,1,253,1638,0.06,0.0,0.0,0.0
nlwiki,Spanish,0,14,253,1638,0.85,0.0,0.0,0.0
plwiki,French,162,780,289,1638,47.62,56.06,20.77,1.1772
plwiki,mixed_or_ambiguous,71,672,289,1638,41.03,24.57,10.57,0.5988
plwiki,Anglophone,13,16,289,1638,0.98,4.5,81.25,4.5918
plwiki,German,10,20,289,1638,1.22,3.46,50.0,2.8361
plwiki,Polish,8,9,289,1638,0.55,2.77,88.89,5.0364
plwiki,Italian,7,22,289,1638,1.34,2.42,31.82,1.806
plwiki,Russian,4,17,289,1638,1.04,1.38,23.53,1.3269
plwiki,Spanish,3,14,289,1638,0.85,1.04,21.43,1.2235
plwiki,Swedish,3,5,289,1638,0.31,1.04,60.0,3.3548
plwiki,Danish,2,5,289,1638,0.31,0.69,40.0,2.2258
plwiki,Corsican,1,1,289,1638,0.06,0.35,100.0,5.8333
plwiki,Czech,1,1,289,1638,0.06,0.35,100.0,5.8333
plwiki,Dutch,1,3,289,1638,0.18,0.35,33.33,1.9444
plwiki,Greek,1,2,289,1638,0.12,0.35,50.0,2.9167
plwiki,Hungarian,1,4,289,1638,0.24,0.35,25.0,1.4583
plwiki,Portuguese,1,1,289,1638,0.06,0.35,100.0,5.8333
plwiki,Arabic,0,1,289,1638,0.06,0.0,0.0,0.0
plwiki,Basque,0,2,289,1638,0.12,0.0,0.0,0.0
plwiki,France,0,49,289,1638,2.99,0.0,0.0,0.0
plwiki,Low Countries,0,1,289,1638,0.06,0.0,0.0,0.0
