language_edition,occupation,represented_entities,cohort_group_entities,language_represented_entities,cohort_total_entities,cohort_group_share_pct,language_group_share_pct,representation_rate_pct,representation_index
ptwiki,collecteur ou collectrice de textes traditionnels,1,3,280,1638,0.18,0.36,33.33,2.0
ptwiki,femme de lettres,1,11,280,1638,0.67,0.36,9.09,0.5373
ptwiki,historien ou historienne des mathématiques,1,3,280,1638,0.18,0.36,33.33,2.0
ptwiki,apologète,0,2,280,1638,0.12,0.0,0.0,0.0
ptwiki,auteur comique,0,2,280,1638,0.12,0.0,0.0,0.0
ptwiki,auteur tragique,0,1,280,1638,0.06,0.0,0.0,0.0
ptwiki,chroniqueur ou chroniqueuse,0,1,280,1638,0.06,0.0,0.0,0.0
ptwiki,historien ou historienne de la médecine,0,1,280,1638,0.06,0.0,0.0,0.0
ptwiki,homme de lettres,0,11,280,1638,0.67,0.0,0.0,0.0
ptwiki,journaliste scientifique,0,1,280,1638,0.06,0.0,0.0,0.0
ptwiki,nouvelliste,0,2,280,1638,0.12,0.0,0.0,0.0
ptwiki,parolier ou parolière,0,1,280,1638,0.06,0.0,0.0,0.0
ptwiki,poétesse,0,1,280,1638,0.06,0.0,0.0,0.0
ptwiki,psalmiste,0,2,280,1638,0.12,0.0,0.0,0.0
ptwiki,écrivain religieux,0,2,280,1638,0.12,0.0,0.0,0.0
ptwiki,épistolière,0,6,280,1638,0.37,0.0,0.0,0.0
ruwiki,écrivain ou écrivaine,487,1155,581,1638,70.51,83.82,42.16,1.1888
ruwiki,poète ou poétesse,152,384,581,1638,23.44,26.16,39.58,1.116
ruwiki,dramaturge,138,393,581,1638,23.99,23.75,35.11,0.99
ruwiki,romancier ou romancière,42,72,581,1638,4.4,7.23,58.33,1.6432
ruwiki,librettiste,37,95,581,1638,5.8,6.37,38.95,1.0983
ruwiki,essayiste,25,56,581,1638,3.42,4.3,44.64,1.2573
ruwiki,chansonnier,16,26,581,1638,1.59,2.75,61.54,1.7296
ruwiki,mémorialiste,14,25,581,1638,1.53,2.41,56.0,1.5752
ruwiki,biographe,11,38,581,1638,2.32,1.89,28.95,0.8147
ruwiki,diariste,11,18,581,1638,1.1,1.89,61.11,1.7182
ruwiki,auteur ou autrice de littérature pour la jeunesse,10,14,581,1638,0.85,1.72,71.43,2.0235
ruwiki,autobiographe,10,13,581,1638,0.79,1.72,76.92,2.1772
ruwiki,juriste-poète,6,7,581,1638,0.43,1.03,85.71,2.3953
ruwiki,prosateur ou prosatrice,6,7,581,1638,0.43,1.03,85.71,2.3953
ruwiki,chroniqueur de voyage,5,8,581,1638,0.49,0.86,62.5,1.7551
ruwiki,pamphlétaire,5,9,581,1638,0.55,0.86,55.56,1.5636
ruwiki,épistolier ou épistolière,5,10,581,1638,0.61,0.86,50.0,1.4098
ruwiki,fabuliste,4,15,581,1638,0.92,0.69,26.67,0.75
ruwiki,historien ou historienne des sciences,3,3,581,1638,0.18,0.52,100.0,2.8889
ruwiki,écrivain ou écrivaine de science-fiction,3,5,581,1638,0.31,0.52,60.0,1.6774
ruwiki,femme de lettres,2,11,581,1638,0.67,0.34,18.18,0.5075
ruwiki,historien ou historienne des mathématiques,2,3,581,1638,0.18,0.34,66.67,1.8889
ruwiki,épistolière,2,6,581,1638,0.37,0.34,33.33,0.9189
ruwiki,auteur comique,1,2,581,1638,0.12,0.17,50.0,1.4167
ruwiki,auteur de contes,1,2,581,1638,0.12,0.17,50.0,1.4167
ruwiki,auteur tragique,1,1,581,1638,0.06,0.17,100.0,2.8333
ruwiki,chroniqueur ou chroniqueuse,1,1,581,1638,0.06,0.17,100.0,2.8333
ruwiki,collecteur ou collectrice de textes traditionnels,1,3,581,1638,0.18,0.17,33.33,0.9444
ruwiki,parolier ou parolière,1,1,581,1638,0.06,0.17,100.0,2.8333
ruwiki,apologète,0,2,581,1638,0.12,0.0,0.0,0.0
ruwiki,historien ou historienne de la médecine,0,1,581,1638,0.06,0.0,0.0,0.0
ruwiki,homme de lettres,0,11,581,1638,0.67,0.0,0.0,0.0
ruwiki,journaliste scientifique,0,1,581,1638,0.06,0.0,0.0,0.0
ruwiki,nouvelliste,0,2,581,1638,0.12,0.0,0.0,0.0
ruwiki,poétesse,0,1,581,1638,0.06,0.0,0.0,0.0
ruwiki,psalmiste,0,2,581,1638,0.12,0.0,0.0,0.0
ruwiki,écrivain religieux,0,2,581,1638,0.12,0.0,0.0,0.0
svwiki,écrivain ou écrivaine,352,1155,408,1638,70.51,86.27,30.48,1.2235
svwiki,poète ou poétesse,107,384,408,1638,23.44,26.23,27.86,1.119
svwiki,dramaturge,87,393,408,1638,23.99,21.32,22.14,0.8887
svwiki,romancier ou romancière,30,72,408,1638,4.4,7.35,41.67,1.6705
svwiki,essayiste,20,56,408,1638,3.42,4.9,35.71,1.4327
svwiki,librettiste,20,95,408,1638,5.8,4.9,21.05,0.8448
svwiki,mémorialiste,14,25,408,1638,1.53,3.43,56.0,2.2418
svwiki,autobiographe,11,13,408,1638,0.79,2.7,84.62,3.4177
svwiki,biographe,9,38,408,1638,2.32,2.21,23.68,0.9526
svwiki,diariste,9,18,408,1638,1.1,2.21,50.0,2.0091
svwiki,auteur ou autrice de littérature pour la jeunesse,7,14,408,1638,0.85,1.72,50.0,2.0235
svwiki,chansonnier,6,26,408,1638,1.59,1.47,23.08,0.9245
svwiki,prosateur ou prosatrice,6,7,408,1638,0.43,1.47,85.71,3.4186
svwiki,chroniqueur de voyage,5,8,408,1638,0.49,1.23,62.5,2.5102
svwiki,juriste-poète,5,7,408,1638,0.43,1.23,71.43,2.8605
svwiki,épistolier ou épistolière,5,10,408,1638,0.61,1.23,50.0,2.0164
svwiki,pamphlétaire,4,9,408,1638,0.55,0.98,44.44,1.7818
svwiki,fabuliste,3,15,408,1638,0.92,0.74,20.0,0.8043
svwiki,femme de lettres,3,11,408,1638,0.67,0.74,27.27,1.1045
svwiki,historien ou historienne des sciences,3,3,408,1638,0.18,0.74,100.0,4.1111
svwiki,écrivain ou écrivaine de science-fiction,3,5,408,1638,0.31,0.74,60.0,2.3871
svwiki,épistolière,3,6,408,1638,0.37,0.74,50.0,2.0
svwiki,historien ou historienne des mathématiques,2,3,408,1638,0.18,0.49,66.67,2.7222
svwiki,auteur comique,1,2,408,1638,0.12,0.25,50.0,2.0833
svwiki,auteur de contes,1,2,408,1638,0.12,0.25,50.0,2.0833
svwiki,collecteur ou collectrice de textes traditionnels,1,3,408,1638,0.18,0.25,33.33,1.3889
svwiki,psalmiste,1,2,408,1638,0.12,0.25,50.0,2.0833
svwiki,apologète,0,2,408,1638,0.12,0.0,0.0,0.0
svwiki,auteur tragique,0,1,408,1638,0.06,0.0,0.0,0.0
svwiki,chroniqueur ou chroniqueuse,0,1,408,1638,0.06,0.0,0.0,0.0
svwiki,historien ou historienne de la médecine,0,1,408,1638,0.06,0.0,0.0,0.0
svwiki,homme de lettres,0,11,408,1638,0.67,0.0,0.0,0.0
svwiki,journaliste scientifique,0,1,408,1638,0.06,0.0,0.0,0.0
svwiki,nouvelliste,0,2,408,1638,0.12,0.0,0.0,0.0
svwiki,parolier ou parolière,0,1,408,1638,0.06,0.0,0.0,0.0
svwiki,poétesse,0,1,408,1638,0.06,0.0,0.0,0.0
svwiki,écrivain religieux,0,2,408,1638,0.12,0.0,0.0,0.0
ukwiki,écrivain ou écrivaine,202,1155,229,1638,70.51,88.21,17.49,1.251
ukwiki,poète ou poétesse,68,384,229,1638,23.44,29.69,17.71,1.2666
ukwiki,dramaturge,39,393,229,1638,23.99,17.03,9.92,0.7099
ukwiki,romancier ou romancière,26,72,229,1638,4.4,11.35,36.11,2.5795
ukwiki,essayiste,14,56,229,1638,3.42,6.11,25.0,1.7865
ukwiki,librettiste,9,95,229,1638,5.8,3.93,9.47,0.6776
ukwiki,biographe,7,38,229,1638,2.32,3.06,18.42,1.319
ukwiki,diariste,6,18,229,1638,1.1,2.62,33.33,2.3818
ukwiki,autobiographe,5,13,229,1638,0.79,2.18,38.46,2.7595
ukwiki,chroniqueur de voyage,5,8,229,1638,0.49,2.18,62.5,4.449
ukwiki,mémorialiste,5,25,229,1638,1.53,2.18,20.0,1.4248
ukwiki,prosateur ou prosatrice,5,7,229,1638,0.43,2.18,71.43,5.0698
ukwiki,épistolier ou épistolière,4,10,229,1638,0.61,1.75,40.0,2.8689
ukwiki,auteur ou autrice de littérature pour la jeunesse,3,14,229,1638,0.85,1.31,21.43,1.5412
ukwiki,chansonnier,3,26,229,1638,1.59,1.31,11.54,0.8239
ukwiki,pamphlétaire,3,9,229,1638,0.55,1.31,33.33,2.3818
ukwiki,écrivain ou écrivaine de science-fiction,3,5,229,1638,0.31,1.31,60.0,4.2258
ukwiki,historien ou historienne des sciences,2,3,229,1638,0.18,0.87,66.67,4.8333
ukwiki,juriste-poète,2,7,229,1638,0.43,0.87,28.57,2.0233
ukwiki,auteur de contes,1,2,229,1638,0.12,0.44,50.0,3.6667
ukwiki,collecteur ou collectrice de textes traditionnels,1,3,229,1638,0.18,0.44,33.33,2.4444
ukwiki,fabuliste,1,15,229,1638,0.92,0.44,6.67,0.4783
ukwiki,femme de lettres,1,11,229,1638,0.67,0.44,9.09,0.6567
ukwiki,historien ou historienne des mathématiques,1,3,229,1638,0.18,0.44,33.33,2.4444
ukwiki,épistolière,1,6,229,1638,0.37,0.44,16.67,1.1892
ukwiki,apologète,0,2,229,1638,0.12,0.0,0.0,0.0
ukwiki,auteur comique,0,2,229,1638,0.12,0.0,0.0,0.0
ukwiki,auteur tragique,0,1,229,1638,0.06,0.0,0.0,0.0
ukwiki,chroniqueur ou chroniqueuse,0,1,229,1638,0.06,0.0,0.0,0.0
ukwiki,historien ou historienne de la médecine,0,1,229,1638,0.06,0.0,0.0,0.0
ukwiki,homme de lettres,0,11,229,1638,0.67,0.0,0.0,0.0
ukwiki,journaliste scientifique,0,1,229,1638,0.06,0.0,0.0,0.0
ukwiki,nouvelliste,0,2,229,1638,0.12,0.0,0.0,0.0
ukwiki,parolier ou parolière,0,1,229,1638,0.06,0.0,0.0,0.0
ukwiki,poétesse,0,1,229,1638,0.06,0.0,0.0,0.0
ukwiki,psalmiste,0,2,229,1638,0.12,0.0,0.0,0.0
ukwiki,écrivain religieux,0,2,229,1638,0.12,0.0,0.0,0.0
