wikidata_id,name,place_evidence_role_count,mapped_place_role_count,place_candidate_affiliation_count,best_place_candidate_affiliation,top_place_candidate_affiliations,top_place_checked_role_count,second_place_checked_role_count,top_place_score_share,top_place_candidate_tie_count,place_affiliation_review_status
http://www.wikidata.org/entity/Q3407792,Prosper Marchand,2,2,5,France,France,2,1,1.0,1,tentative_place
http://www.wikidata.org/entity/Q7252993,Prudent Maran,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q4089313,Pyotr Bogdanovich,2,2,2,,Russian | Ukrainian,2,2,1.0,2,mixed_place_top_score
http://www.wikidata.org/entity/Q519044,Quatremère de Quincy,3,3,1,France,France,3,0,1.0,1,strong_place
http://www.wikidata.org/entity/Q18955941,Raphaël de Monachis,2,2,2,,Egyptian | Ottoman,2,2,1.0,2,mixed_place_top_score
http://www.wikidata.org/entity/Q3425972,René Castel,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q1393507,René Louis de Voyer de Paulmy d'Argenson,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q19629716,René Perin,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q3426943,René Tourlet,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q18012095,René de Chazet,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q2002291,René-Charles Guilbert de Pixerécourt,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q21634433,René-François Bescher,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q23901691,René-Pierre Nepveu de la Manouillère,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q3427107,Renée-Caroline-Victoire de Froulay,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q364975,Richard Cantillon,2,2,1,British,British,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q319684,Rigas,3,3,7,,Germany | Greek | Ottoman,2,2,0.6667,3,mixed_place_top_score
http://www.wikidata.org/entity/Q127954726,Robert Alain,1,1,1,France,France,1,0,1.0,1,single_place_signal
http://www.wikidata.org/entity/Q7341443,Robert Allan,1,1,1,British,British,1,0,1.0,1,single_place_signal
http://www.wikidata.org/entity/Q555329,Robert Surcouf,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q3434367,Robert-Martin Lesuire,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q1681337,Roch-Ambroise Cucurron Sicard,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q310757,Roger Joseph Boscovich,4,4,6,Austrian/Habsburg,Austrian/Habsburg,3,2,0.75,1,moderate_place
http://www.wikidata.org/entity/Q3438618,Roger-Timothée Régnard de Pleinchesne,1,1,1,France,France,1,0,1.0,1,single_place_signal
http://www.wikidata.org/entity/Q52320187,Rosalie Jullien,1,1,1,France,France,1,0,1.0,1,single_place_signal
http://www.wikidata.org/entity/Q3442332,Rose-Céleste Bache,1,1,1,France,France,1,0,1.0,1,single_place_signal
http://www.wikidata.org/entity/Q97550,Rudolf Eickemeyer,3,3,3,Germany,Germany,3,2,1.0,1,moderate_place
