language_edition,granular_bucket,bucket_family,represented_entities,bucket_entities,language_represented_entities,cohort_total_entities,bucket_entity_share_pct,language_bucket_share_pct,representation_rate_pct
plwiki,Law / Administration,Institutional power,39,192,289,1638,11.72,13.49,20.31
plwiki,Sociability / Patronage / Court,Social and cultural mediation,34,73,289,1638,4.46,11.76,46.58
plwiki,Music / Performance / Theatre,Arts and performance,33,128,289,1638,7.81,11.42,25.78
plwiki,Military,Institutional power,30,116,289,1638,7.08,10.38,25.86
plwiki,Economics / Commerce,Institutional power,27,66,289,1638,4.03,9.34,40.91
plwiki,Unmapped / Review,Needs review,26,75,289,1638,4.58,9.0,34.67
plwiki,Religion / Theology,Intellectual systems,25,130,289,1638,7.94,8.65,19.23
plwiki,Travel / Geography / Exploration,Mobility and empire,20,49,289,1638,2.99,6.92,40.82
plwiki,Visual Arts / Architecture / Design,Arts and performance,20,74,289,1638,4.52,6.92,27.03
plwiki,Engineering / Technology,Scientific knowledge,16,27,289,1638,1.65,5.54,59.26
plwiki,Medicine / Health,Scientific knowledge,15,43,289,1638,2.63,5.19,34.88
plwiki,Social Reform / Activism,Social and cultural mediation,7,12,289,1638,0.73,2.42,58.33
plwiki,Craft / Trade / Industry,Material production,2,9,289,1638,0.55,0.69,22.22
ptwiki,Writing / Literature,Literary and textual production,278,1628,280,1638,99.39,99.29,17.08
ptwiki,Education / Scholarship / Humanities,Intellectual systems,108,381,280,1638,23.26,38.57,28.35
ptwiki,Politics / Statecraft / Diplomacy,Institutional power,102,288,280,1638,17.58,36.43,35.42
ptwiki,Philosophy,Intellectual systems,76,116,280,1638,7.08,27.14,65.52
ptwiki,Science / Natural History,Scientific knowledge,61,120,280,1638,7.33,21.79,50.83
ptwiki,Translation / Philology / Languages,Literary and textual production,59,304,280,1638,18.56,21.07,19.41
ptwiki,Law / Administration,Institutional power,40,192,280,1638,11.72,14.29,20.83
ptwiki,Print / Publishing / Journalism,Literary and textual production,36,211,280,1638,12.88,12.86,17.06
ptwiki,Sociability / Patronage / Court,Social and cultural mediation,31,73,280,1638,4.46,11.07,42.47
ptwiki,Military,Institutional power,27,116,280,1638,7.08,9.64,23.28
ptwiki,Music / Performance / Theatre,Arts and performance,26,128,280,1638,7.81,9.29,20.31
ptwiki,Unmapped / Review,Needs review,26,75,280,1638,4.58,9.29,34.67
ptwiki,Economics / Commerce,Institutional power,25,66,280,1638,4.03,8.93,37.88
ptwiki,Religion / Theology,Intellectual systems,24,130,280,1638,7.94,8.57,18.46
ptwiki,Visual Arts / Architecture / Design,Arts and performance,22,74,280,1638,4.52,7.86,29.73
ptwiki,Travel / Geography / Exploration,Mobility and empire,18,49,280,1638,2.99,6.43,36.73
ptwiki,Medicine / Health,Scientific knowledge,16,43,280,1638,2.63,5.71,37.21
ptwiki,Engineering / Technology,Scientific knowledge,14,27,280,1638,1.65,5.0,51.85
ptwiki,Social Reform / Activism,Social and cultural mediation,3,12,280,1638,0.73,1.07,25.0
ptwiki,Craft / Trade / Industry,Material production,2,9,280,1638,0.55,0.71,22.22
ruwiki,Writing / Literature,Literary and textual production,578,1628,581,1638,99.39,99.48,35.5
ruwiki,Education / Scholarship / Humanities,Intellectual systems,202,381,581,1638,23.26,34.77,53.02
ruwiki,Politics / Statecraft / Diplomacy,Institutional power,169,288,581,1638,17.58,29.09,58.68
ruwiki,Translation / Philology / Languages,Literary and textual production,146,304,581,1638,18.56,25.13,48.03
ruwiki,Philosophy,Intellectual systems,91,116,581,1638,7.08,15.66,78.45
ruwiki,Print / Publishing / Journalism,Literary and textual production,81,211,581,1638,12.88,13.94,38.39
ruwiki,Science / Natural History,Scientific knowledge,73,120,581,1638,7.33,12.56,60.83
ruwiki,Law / Administration,Institutional power,69,192,581,1638,11.72,11.88,35.94
ruwiki,Music / Performance / Theatre,Arts and performance,61,128,581,1638,7.81,10.5,47.66
ruwiki,Military,Institutional power,55,116,581,1638,7.08,9.47,47.41
ruwiki,Sociability / Patronage / Court,Social and cultural mediation,47,73,581,1638,4.46,8.09,64.38
ruwiki,Visual Arts / Architecture / Design,Arts and performance,39,74,581,1638,4.52,6.71,52.7
ruwiki,Economics / Commerce,Institutional power,38,66,581,1638,4.03,6.54,57.58
ruwiki,Religion / Theology,Intellectual systems,36,130,581,1638,7.94,6.2,27.69
ruwiki,Unmapped / Review,Needs review,35,75,581,1638,4.58,6.02,46.67
ruwiki,Travel / Geography / Exploration,Mobility and empire,27,49,581,1638,2.99,4.65,55.1
ruwiki,Medicine / Health,Scientific knowledge,21,43,581,1638,2.63,3.61,48.84
ruwiki,Engineering / Technology,Scientific knowledge,17,27,581,1638,1.65,2.93,62.96
ruwiki,Social Reform / Activism,Social and cultural mediation,7,12,581,1638,0.73,1.2,58.33
ruwiki,Craft / Trade / Industry,Material production,3,9,581,1638,0.55,0.52,33.33
svwiki,Writing / Literature,Literary and textual production,404,1628,408,1638,99.39,99.02,24.82
svwiki,Education / Scholarship / Humanities,Intellectual systems,146,381,408,1638,23.26,35.78,38.32
svwiki,Politics / Statecraft / Diplomacy,Institutional power,145,288,408,1638,17.58,35.54,50.35
svwiki,Translation / Philology / Languages,Literary and textual production,95,304,408,1638,18.56,23.28,31.25
svwiki,Philosophy,Intellectual systems,75,116,408,1638,7.08,18.38,64.66
svwiki,Science / Natural History,Scientific knowledge,59,120,408,1638,7.33,14.46,49.17
svwiki,Print / Publishing / Journalism,Literary and textual production,58,211,408,1638,12.88,14.22,27.49
svwiki,Law / Administration,Institutional power,50,192,408,1638,11.72,12.25,26.04
svwiki,Sociability / Patronage / Court,Social and cultural mediation,48,73,408,1638,4.46,11.76,65.75
svwiki,Music / Performance / Theatre,Arts and performance,47,128,408,1638,7.81,11.52,36.72
svwiki,Military,Institutional power,34,116,408,1638,7.08,8.33,29.31
svwiki,Unmapped / Review,Needs review,32,75,408,1638,4.58,7.84,42.67
svwiki,Economics / Commerce,Institutional power,30,66,408,1638,4.03,7.35,45.45
svwiki,Visual Arts / Architecture / Design,Arts and performance,27,74,408,1638,4.52,6.62,36.49
svwiki,Religion / Theology,Intellectual systems,24,130,408,1638,7.94,5.88,18.46
svwiki,Travel / Geography / Exploration,Mobility and empire,21,49,408,1638,2.99,5.15,42.86
svwiki,Engineering / Technology,Scientific knowledge,15,27,408,1638,1.65,3.68,55.56
svwiki,Medicine / Health,Scientific knowledge,13,43,408,1638,2.63,3.19,30.23
svwiki,Social Reform / Activism,Social and cultural mediation,8,12,408,1638,0.73,1.96,66.67
svwiki,Craft / Trade / Industry,Material production,3,9,408,1638,0.55,0.74,33.33
ukwiki,Writing / Literature,Literary and textual production,227,1628,229,1638,99.39,99.13,13.94
ukwiki,Education / Scholarship / Humanities,Intellectual systems,100,381,229,1638,23.26,43.67,26.25
ukwiki,Politics / Statecraft / Diplomacy,Institutional power,97,288,229,1638,17.58,42.36,33.68
ukwiki,Translation / Philology / Languages,Literary and textual production,68,304,229,1638,18.56,29.69,22.37
ukwiki,Philosophy,Intellectual systems,66,116,229,1638,7.08,28.82,56.9
ukwiki,Science / Natural History,Scientific knowledge,52,120,229,1638,7.33,22.71,43.33
ukwiki,Print / Publishing / Journalism,Literary and textual production,34,211,229,1638,12.88,14.85,16.11
ukwiki,Law / Administration,Institutional power,31,192,229,1638,11.72,13.54,16.15
ukwiki,Economics / Commerce,Institutional power,25,66,229,1638,4.03,10.92,37.88
ukwiki,Military,Institutional power,25,116,229,1638,7.08,10.92,21.55
ukwiki,Unmapped / Review,Needs review,25,75,229,1638,4.58,10.92,33.33
ukwiki,Music / Performance / Theatre,Arts and performance,23,128,229,1638,7.81,10.04,17.97
ukwiki,Sociability / Patronage / Court,Social and cultural mediation,23,73,229,1638,4.46,10.04,31.51
ukwiki,Religion / Theology,Intellectual systems,16,130,229,1638,7.94,6.99,12.31
ukwiki,Travel / Geography / Exploration,Mobility and empire,16,49,229,1638,2.99,6.99,32.65
ukwiki,Visual Arts / Architecture / Design,Arts and performance,16,74,229,1638,4.52,6.99,21.62
ukwiki,Medicine / Health,Scientific knowledge,15,43,229,1638,2.63,6.55,34.88
ukwiki,Engineering / Technology,Scientific knowledge,13,27,229,1638,1.65,5.68,48.15
ukwiki,Social Reform / Activism,Social and cultural mediation,5,12,229,1638,0.73,2.18,41.67
ukwiki,Craft / Trade / Industry,Material production,1,9,229,1638,0.55,0.44,11.11
