query (2),Unnamed: 1,Unnamed: 2,Unnamed: 3
person,personLabel,birth,viaf
http://www.wikidata.org/entity/Q21708284,Esprit-Jean de Rome d'Ardène,1684-03-03T00:00:00Z,287850770
http://www.wikidata.org/entity/Q560142,Jean Astruc,1684-03-19T00:00:00Z,14869401
http://www.wikidata.org/entity/Q55874292,"Michel, called Procope-Couteaux Coltelli",1684-07-07T00:00:00Z,22171780
http://www.wikidata.org/entity/Q3526294,Thémiseul de Saint-Hyacinthe,1684-09-24T00:00:00Z,27071255
http://www.wikidata.org/entity/Q3275571,Madeleine Angélique Poisson Gomez,1684-11-22T00:00:00Z,51699342
http://www.wikidata.org/entity/Q3524828,Thomas-Gilles Asselin,1684-12-21T00:00:00Z,
http://www.wikidata.org/entity/Q51597755,Jean-Joseph Granet,1685-01-01T00:00:00Z,11022522
http://www.wikidata.org/entity/Q87647615,Jacques Mesnard,1685-01-01T00:00:00Z,313231247
http://www.wikidata.org/entity/Q87647615,Jacques Mesnard,1685-01-01T00:00:00Z,71380565
http://www.wikidata.org/entity/Q129022,Charles-Jean-François Hénault,1685-02-08T00:00:00Z,118096
http://www.wikidata.org/entity/Q2958085,Charles-Gabriel Porée,1685-05-01T00:00:00Z,44173048
http://www.wikidata.org/entity/Q1382542,Pierre-François Guyot Desfontaines,1685-06-29T00:00:00Z,44293738
http://www.wikidata.org/entity/Q3131911,Henri Richer,1685-08-16T00:00:00Z,71738069
http://www.wikidata.org/entity/Q469944,Gabrielle-Suzanne de Villeneuve,1685-11-28T00:00:00Z,95162717
http://www.wikidata.org/entity/Q1684691,Jean-Baptiste Vivien de Châteaubrun,1686-01-01T00:00:00Z,120732351
http://www.wikidata.org/entity/Q3185843,Joseph de La Font,1686-01-01T00:00:00Z,350774
http://www.wikidata.org/entity/Q3263377,Louis de Blanchefort de Créquy,1686-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q29584613,Nicolas Brussel,1686-02-10T00:00:00Z,121865054
http://www.wikidata.org/entity/Q3484427,Simon Reboulet,1686-06-09T00:00:00Z,14822511
http://www.wikidata.org/entity/Q100894221,Adrien François d'Huez,1688-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q49478,Pierre de Marivaux,1688-02-04T00:00:00Z,102099473
http://www.wikidata.org/entity/Q3185797,Joseph Xaupi,1688-03-10T00:00:00Z,17575599
http://www.wikidata.org/entity/Q556735,François Robichon de La Guérinière,1688-05-08T00:00:00Z,17224955
http://www.wikidata.org/entity/Q3083577,François-Michel-Chrétien Deschamps,1688-09-14T00:00:00Z,61680601
http://www.wikidata.org/entity/Q2450164,Noël-Antoine Pluche,1688-11-13T00:00:00Z,16032
http://www.wikidata.org/entity/Q3383035,Pierre-François Godard de Beauchamps,1689-01-01T00:00:00Z,76311896
http://www.wikidata.org/entity/Q117280816,André Tappin,1689-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q3047880,Edmond Jean François Barbier,1689-01-16T00:00:00Z,44449023
http://www.wikidata.org/entity/Q50212214,Jean-Baptiste Margat de Tilly,1689-02-18T00:00:00Z,7718945
http://www.wikidata.org/entity/Q2093064,Pierre-Joseph Alary,1689-03-19T00:00:00Z,59299094
http://www.wikidata.org/entity/Q983437,Alexis Piron,1689-07-09T00:00:00Z,76321392
http://www.wikidata.org/entity/Q517188,Jean-Antoine Romagnesi,1690-01-01T00:00:00Z,7408703
http://www.wikidata.org/entity/Q982064,Louis Petit de Bachaumont,1690-06-02T00:00:00Z,29558790
http://www.wikidata.org/entity/Q926243,Guillaume-Hyacinthe Bougeant,1690-11-04T00:00:00Z,19687351
http://www.wikidata.org/entity/Q28933577,Alexandre Tanevot,1691-09-01T00:00:00Z,32127994
http://www.wikidata.org/entity/Q2720200,Alexandre Le Riche de La Poupelinière,1692-01-01T00:00:00Z,64023544
http://www.wikidata.org/entity/Q1933689,Pierre-Claude Nivelle de La Chaussée,1692-02-14T00:00:00Z,76318065
http://www.wikidata.org/entity/Q2853515,Antoine-Louis de Chalamont de La Visclède,1692-08-02T00:00:00Z,71224190
http://www.wikidata.org/entity/Q3340380,Nicolas Grozelier,1692-08-29T00:00:00Z,24715433
http://www.wikidata.org/entity/Q28933420,Jean Dumas d'Aigueberre,1692-09-06T00:00:00Z,17263349
http://www.wikidata.org/entity/Q2734012,"Anne Claude Philippe, Comte de Caylus",1692-10-31T00:00:00Z,76717314
http://www.wikidata.org/entity/Q2734012,"Anne Claude Philippe, Comte de Caylus",1692-10-31T00:00:00Z,95168446
http://www.wikidata.org/entity/Q1227748,Louis Racine,1692-11-06T00:00:00Z,39387234
http://www.wikidata.org/entity/Q275947,Mademoiselle Aïssé,1693-01-01T00:00:00Z,76366587
http://www.wikidata.org/entity/Q62587746,Jean-Jacques Bel,1693-03-21T00:00:00Z,61555974
http://www.wikidata.org/entity/Q517188,Jean-Antoine Romagnesi,1693-04-15T00:00:00Z,7408703
http://www.wikidata.org/entity/Q3106040,Gilles-François de Beauvais,1693-07-07T00:00:00Z,100263243
http://www.wikidata.org/entity/Q2720200,Alexandre Le Riche de La Poupelinière,1693-07-26T00:00:00Z,64023544
http://www.wikidata.org/entity/Q20561652,Glaoda Marigo,1693-09-20T00:00:00Z,76306101
http://www.wikidata.org/entity/Q3164050,Jean-Baptiste Dupont,1693-10-29T00:00:00Z,
http://www.wikidata.org/entity/Q13575,François Quesnay,1694-06-04T00:00:00Z,7428836
http://www.wikidata.org/entity/Q113536,Charles-Antoine Coypel,1694-07-11T00:00:00Z,64113270
http://www.wikidata.org/entity/Q2365456,Pierre de Robineau,1694-08-10T00:00:00Z,
http://www.wikidata.org/entity/Q3592096,Étienne Canaye,1694-09-07T00:00:00Z,131144648679483092024
