person,personLabel,death_place_ids,death_place_labels,citizenship_ids,citizenship_labels,residence_ids,residence_labels,work_location_ids,work_location_labels,native_language_ids,native_language_labels,spoken_written_language_ids,spoken_written_language_labels,writing_language_ids,writing_language_labels,gender_ids,gender_labels,ethnic_group_ids,ethnic_group_labels,occupation_ids,occupation_labels,notable_work_ids,notable_work_labels,death_coords,writerly_occupation_ids,writerly_occupation_labels,nonwriter_occupation_ids,nonwriter_occupation_labels,notable_work_count,notable_work_genre_ids,notable_work_genre_labels,notable_work_form_ids,notable_work_form_labels,european_label_count,entity_label_languages,european_description_count,entity_description_languages,has_frwiki,has_enwiki,has_dewiki,has_itwiki,has_eswiki,has_plwiki,has_ruwiki,has_ukwiki,has_nlwiki,has_ptwiki,has_svwiki,has_dawiki,wikipedia_sitelink_count
http://www.wikidata.org/entity/Q86088234,Pierre Charles Berthelin,,,Q142,France,,,,,,,Q150,français,Q150,français,Q6581097,masculin,,,Q2259532 | Q14972848 | Q13418253 | Q6673651 | Q36180,clerc | lexicographe | philologue | homme ou femme de lettres | écrivain ou écrivaine,,,,Q36180,écrivain ou écrivaine,Q2259532 | Q14972848 | Q13418253 | Q6673651,clerc | lexicographe | philologue | homme ou femme de lettres,0,,,,,8,de | en | es | fr | it | nl | pt | sv,5,de | en | fr | it | nl,False,False,False,False,False,False,False,False,False,False,False,False,0
http://www.wikidata.org/entity/Q86969625,F. J. de Pons,Q90,Paris,Q142 | Q861551,France | Saint-Domingue,,,,,,,Q150,français,,,Q6581097,masculin,,,Q12356615 | Q3579035 | Q193391,voyageur ou voyageuse | chroniqueur de voyage | diplomate,,,Point(2.352222222222222 48.85666666666667),Q3579035,chroniqueur de voyage,Q12356615 | Q193391,voyageur ou voyageuse | diplomate,0,,,,,9,de | en | es | fr | it | nl | pl | pt | sv,4,de | en | fr | nl,False,False,False,False,False,False,False,False,False,False,False,False,0
http://www.wikidata.org/entity/Q87647615,Jacques Mesnard,,,Q142,France,,,Q30974,Rouen,,,Q150,français,,,Q6581097,masculin,,,Q39631 | Q774306 | Q185196 | Q36180,médecin | chirurgien ou chirurgienne | sage-femme | écrivain ou écrivaine,,,,Q36180,écrivain ou écrivaine,Q39631 | Q774306 | Q185196,médecin | chirurgien ou chirurgienne | sage-femme,0,,,,,8,de | en | es | fr | it | nl | pt | sv,4,de | en | fr | nl,False,False,False,False,False,False,False,False,False,False,False,False,0
http://www.wikidata.org/entity/Q876867,Charles de Villers,Q3033,Göttingen,Q142,France,,,Q3033 | Q2843,Göttingen | Lübeck,Q150,français,Q150,français,Q150,français,Q6581097,masculin,,,Q189290 | Q4964182 | Q1622272 | Q6673651 | Q36180,officier | philosophe | professeur d'université | homme ou femme de lettres | écrivain ou écrivaine,,,Point(9.9355555555556 51.533888888889),Q36180,écrivain ou écrivaine,Q189290 | Q4964182 | Q1622272 | Q6673651,officier | philosophe | professeur d'université | homme ou femme de lettres,0,,,,,9,da | de | en | es | fr | it | nl | pt | sv,7,de | en | es | fr | it | nl | pt,True,True,True,False,True,False,False,False,False,True,False,False,6
http://www.wikidata.org/entity/Q88044880,François Morénas,Q235,Monaco,Q142,France,,,,,,,Q150 | Q652 | Q397,français | italien | latin,Q150,français,Q6581097,masculin,,,Q36180 | Q1930187 | Q333634,écrivain ou écrivaine | journaliste | traducteur ou traductrice,,,Point(7.42 43.73111111111111),Q36180 | Q1930187,écrivain ou écrivaine | journaliste,Q333634,traducteur ou traductrice,0,,,,,8,de | en | es | fr | it | nl | pt | sv,2,en | nl,False,False,False,False,False,False,False,False,False,False,False,False,0
http://www.wikidata.org/entity/Q88060630,Pierre Daudé,Q84,Londres,Q142 | Q179876,France | royaume d'Angleterre,,,,,,,Q150 | Q1860 | Q397,français | anglais | latin,Q150,français,Q6581097,masculin,,,Q152002 | Q333634 | Q36180,pasteur | traducteur ou traductrice | écrivain ou écrivaine,,,Point(-0.1275 51.507222222222),Q36180,écrivain ou écrivaine,Q152002 | Q333634,pasteur | traducteur ou traductrice,0,,,,,8,de | en | es | fr | it | nl | pt | sv,5,en | fr | it | nl | sv,False,False,False,False,False,False,False,False,False,False,False,False,0
http://www.wikidata.org/entity/Q88157410,Gabriel de Glatigny,Q456,Lyon,Q142,France,,,,,,,Q150,français,,,Q6581097,masculin,,,Q1626130 | Q4594605 | Q40348 | Q20826540,homme de lettres | magistrat ou magistrate | avocat ou avocate | érudit,,,Point(4.835 45.7675),Q1626130,homme de lettres,Q4594605 | Q40348 | Q20826540,magistrat ou magistrate | avocat ou avocate | érudit,0,,,,,9,de | en | es | fr | it | nl | pl | pt | sv,2,de | fr,False,False,False,False,False,False,False,False,False,False,False,False,0
http://www.wikidata.org/entity/Q88270808,Marie-Elisabeth de Polier,Q517107,Rudolstadt,Q39 | Q12548,Suisse | Saint-Empire romain germanique,,,,,,,Q150 | Q188,français | allemand,Q150,français,Q6581072,féminin,,,Q1930187 | Q36180 | Q589298 | Q333634,journaliste | écrivain ou écrivaine | rédacteur ou rédactrice en chef | traducteur ou traductrice,,,Point(11.3275 50.716944444444),Q1930187 | Q36180 | Q589298,journaliste | écrivain ou écrivaine | rédacteur ou rédactrice en chef,Q333634,traducteur ou traductrice,0,,,,,9,de | en | es | fr | it | nl | pt | ru | sv,6,de | en | es | fr | ru | uk,False,True,False,False,False,False,False,False,False,False,False,False,1
http://www.wikidata.org/entity/Q88290947,Adélaïde-Isabelle-Jeanne Vivien Deschampsy,,,Q142,France,,,,,Q150,français,Q150,français,Q150,français,Q6581072,féminin,,,Q36180,écrivain ou écrivaine,,,,Q36180,écrivain ou écrivaine,,,0,,,,,10,da | de | en | es | fr | it | nl | pt | ru | sv,7,en | es | fr | it | nl | pt | ru,False,False,False,False,False,False,True,False,False,False,False,False,2
http://www.wikidata.org/entity/Q88299332,"Charlotte Chaumet, dame d’Ormoy",,,Q70972,royaume de France,,,,,,,Q150,français,,,Q6581072,féminin,,,Q36180,écrivain ou écrivaine,,,,Q36180,écrivain ou écrivaine,,,0,,,,,8,de | en | es | fr | it | nl | pt | sv,3,en | es | fr,False,False,False,False,False,False,False,False,False,False,False,False,0
