occupation_id,occupation_label,occupation_wikidata_url,granular_bucket,bucket_family,bucket_method,manual_review_status,is_writerly_seen,is_nonwriter_seen,all_cohorts_entity_count,all_cohorts_assignment_count,notes,french_seed_entity_count,french_seed_assignment_count,global_writers_entity_count,global_writers_assignment_count
Q16389557,philosophe des sciences,https://www.wikidata.org/wiki/Q16389557,Philosophy,Intellectual systems,label_rule:philosophe,suggested,False,True,1,2,,1,1,1,1
Q18930236,philosophe du langage,https://www.wikidata.org/wiki/Q18930236,Philosophy,Intellectual systems,label_rule:philosophe,suggested,False,True,1,2,,1,1,1,1
Q19350898,physicien théoricien ou physicienne théoricienne,https://www.wikidata.org/wiki/Q19350898,Science / Natural History,Scientific knowledge,label_rule:physicien,suggested,False,True,1,2,,1,1,1,1
Q3406479,procureur-syndic,https://www.wikidata.org/wiki/Q3406479,Religion / Theology,Intellectual systems,label_rule:cure,suggested,False,True,1,2,,1,1,1,1
Q81708330,professeur de lettres,https://www.wikidata.org/wiki/Q81708330,Education / Scholarship / Humanities,Intellectual systems,label_rule:professeur,suggested,False,True,1,2,,1,1,1,1
Q26973007,professeur de philosophie,https://www.wikidata.org/wiki/Q26973007,Education / Scholarship / Humanities,Intellectual systems,label_rule:professeur,suggested,False,True,1,1,,0,0,1,1
Q48930480,professeur de philosophie,https://www.wikidata.org/wiki/Q48930480,Education / Scholarship / Humanities,Intellectual systems,label_rule:professeur,suggested,False,True,1,1,,0,0,1,1
Q3406834,professeur des écoles,https://www.wikidata.org/wiki/Q3406834,Education / Scholarship / Humanities,Intellectual systems,label_rule:professeur,suggested,False,True,1,2,,1,1,1,1
Q7939609,professeur ou professeure de chant,https://www.wikidata.org/wiki/Q7939609,Education / Scholarship / Humanities,Intellectual systems,label_rule:professeur,suggested,False,True,1,1,,0,0,1,1
Q63677188,professeur ou professeure de droit,https://www.wikidata.org/wiki/Q63677188,Education / Scholarship / Humanities,Intellectual systems,label_rule:professeur,suggested,False,True,1,1,,0,0,1,1
Q17488316,préhistorien ou préhistorienne,https://www.wikidata.org/wiki/Q17488316,Education / Scholarship / Humanities,Intellectual systems,label_rule:historien,suggested,False,True,1,1,,0,0,1,1
Q518782,prévôt,https://www.wikidata.org/wiki/Q518782,Law / Administration,Institutional power,label_rule:prevot,suggested,False,True,1,1,,0,0,1,1
Q4994741,prêtre de paroisse,https://www.wikidata.org/wiki/Q4994741,Religion / Theology,Intellectual systems,label_rule:pretre,suggested,False,True,1,1,,0,0,1,1
Q60232542,prêtre grec-catholique,https://www.wikidata.org/wiki/Q60232542,Religion / Theology,Intellectual systems,label_rule:pretre,suggested,False,True,1,1,,0,0,1,1
Q55631411,religieuse catholique,https://www.wikidata.org/wiki/Q55631411,Religion / Theology,Intellectual systems,label_rule:religieuse,suggested,False,True,1,1,,0,0,1,1
Q28146366,religieuse chrétienne,https://www.wikidata.org/wiki/Q28146366,Religion / Theology,Intellectual systems,label_rule:religieuse,suggested,False,True,1,2,,1,1,1,1
Q6138343,sculpteur ou sculptrice sur bois,https://www.wikidata.org/wiki/Q6138343,Visual Arts / Architecture / Design,Arts and performance,label_rule:sculpteur,suggested,False,True,1,1,,0,0,1,1
Q1840507,sculpteur sur bois ou autre matériau naturel,https://www.wikidata.org/wiki/Q1840507,Visual Arts / Architecture / Design,Arts and performance,label_rule:sculpteur,suggested,False,True,1,1,,0,0,1,1
Q319544,secrétaire,https://www.wikidata.org/wiki/Q319544,Law / Administration,Institutional power,label_rule:secretaire,suggested,False,True,1,1,,0,0,1,1
Q120886563,secrétaire-greffier,https://www.wikidata.org/wiki/Q120886563,Law / Administration,Institutional power,label_rule:secretaire,suggested,False,True,1,2,,1,1,1,1
Q15255771,sinologue,https://www.wikidata.org/wiki/Q15255771,Translation / Philology / Languages,Literary and textual production,label_rule:sinologue,suggested,False,True,1,2,,1,1,1,1
Q27532437,suffragiste,https://www.wikidata.org/wiki/Q27532437,Social Reform / Activism,Social and cultural mediation,label_rule:suffrag,suggested,False,True,1,2,,1,1,1,1
Q5352191,technicien ou technicienne,https://www.wikidata.org/wiki/Q5352191,Engineering / Technology,Scientific knowledge,label_rule:technicien,suggested,False,True,1,1,,0,0,1,1
Q17994313,theatre entrepreneur,https://www.wikidata.org/wiki/Q17994313,Economics / Commerce,Institutional power,label_rule:entrepreneur,suggested,False,True,1,1,,0,0,1,1
Q115783625,théologien luthérien,https://www.wikidata.org/wiki/Q115783625,Religion / Theology,Intellectual systems,label_rule:theologien,suggested,False,True,1,1,,0,0,1,1
Q123819727,théologien orthodoxe,https://www.wikidata.org/wiki/Q123819727,Religion / Theology,Intellectual systems,label_rule:theologien,suggested,False,True,1,1,,0,0,1,1
Q98028403,tobacco trader,https://www.wikidata.org/wiki/Q98028403,Economics / Commerce,Institutional power,label_rule:trader,suggested,False,True,1,1,,0,0,1,1
Q28709693,traducteur de l'Iliade,https://www.wikidata.org/wiki/Q28709693,Translation / Philology / Languages,Literary and textual production,label_rule:traducteur,suggested,False,True,1,2,,1,1,1,1
Q15143191,vulgarisateur ou vulgarisatrice scientifique,https://www.wikidata.org/wiki/Q15143191,Science / Natural History,Scientific knowledge,label_rule:scientifique,suggested,False,True,1,2,,1,1,1,1
Q108290540,Éleveurs et ouvriers qualifiés de l’élevage de bétail,https://www.wikidata.org/wiki/Q108290540,Craft / Trade / Industry,Material production,label_rule:ouvrier,suggested,False,True,1,1,,0,0,1,1
Q88190618,écrivain d'art,https://www.wikidata.org/wiki/Q88190618,Writing / Literature,Literary and textual production,label_rule:ecrivain,suggested,True,False,1,1,,0,0,1,1
Q100983844,écrivain de jardin,https://www.wikidata.org/wiki/Q100983844,Writing / Literature,Literary and textual production,label_rule:ecrivain,suggested,False,True,1,1,,0,0,1,1
Q118732656,écrivain ou écrivaine,https://www.wikidata.org/wiki/Q118732656,Writing / Literature,Literary and textual production,label_rule:ecrivain,suggested,False,True,1,1,,0,0,1,1
Q1318187,écrivain public,https://www.wikidata.org/wiki/Q1318187,Writing / Literature,Literary and textual production,label_rule:ecrivain,suggested,False,True,1,1,,0,0,1,1
Q3719391,éditeur de partitions musicales,https://www.wikidata.org/wiki/Q3719391,Print / Publishing / Journalism,Literary and textual production,label_rule:editeur,suggested,False,True,1,1,,0,0,1,1
Q124634459,éditeur de revue,https://www.wikidata.org/wiki/Q124634459,Print / Publishing / Journalism,Literary and textual production,label_rule:editeur,suggested,False,True,1,1,,0,0,1,1
Q15632482,épistémologue,https://www.wikidata.org/wiki/Q15632482,Philosophy,Intellectual systems,label_rule:epistemologue,suggested,False,True,1,2,,1,1,1,1
Q5121550,érudit du judaïsme,https://www.wikidata.org/wiki/Q5121550,Education / Scholarship / Humanities,Intellectual systems,label_rule:erudit,suggested,False,True,1,1,,0,0,1,1
