language_edition,total_entities,represented_entities,representation_pct
enwiki,14377,5305,36.9
dewiki,14377,3980,27.68
frwiki,14377,3481,24.21
ruwiki,14377,2436,16.94
itwiki,14377,2049,14.25
eswiki,14377,1835,12.76
svwiki,14377,1826,12.7
plwiki,14377,1207,8.4
ptwiki,14377,973,6.77
nlwiki,14377,931,6.48
ukwiki,14377,868,6.04
dawiki,14377,568,3.95
