scope_id,scope_label,context_order,birth_decade,entities,female_entities,female_pct,male_entities,male_pct,missing_citizenship_entities,missing_citizenship_pct,wikipedia_article_entities,wikipedia_article_pct,no_place_context_entities,no_place_context_pct,low_evidence_affiliation_entities,low_evidence_affiliation_pct,notes
germany,Germany,1,1750,650,59,9.08,591,90.92,278,42.77,471,72.46,2,0.31,88,13.54,Birth decades are derived from Wikidata birth-year values; the 1670s row covers 1675-1679.
germany,Germany,1,1760,626,63,10.06,562,89.78,277,44.25,449,71.73,2,0.32,101,16.13,Birth decades are derived from Wikidata birth-year values; the 1670s row covers 1675-1679.
germany,Germany,1,1770,406,31,7.64,375,92.36,175,43.1,288,70.94,3,0.74,68,16.75,Birth decades are derived from Wikidata birth-year values; the 1670s row covers 1675-1679.
british,British,2,1670,46,10,21.74,36,78.26,8,17.39,38,82.61,15,32.61,18,39.13,Birth decades are derived from Wikidata birth-year values; the 1670s row covers 1675-1679.
british,British,2,1680,79,8,10.13,71,89.87,21,26.58,71,89.87,21,26.58,32,40.51,Birth decades are derived from Wikidata birth-year values; the 1670s row covers 1675-1679.
british,British,2,1690,115,19,16.52,96,83.48,24,20.87,99,86.09,36,31.3,49,42.61,Birth decades are derived from Wikidata birth-year values; the 1670s row covers 1675-1679.
british,British,2,1700,177,25,14.12,152,85.88,41,23.16,144,81.36,44,24.86,70,39.55,Birth decades are derived from Wikidata birth-year values; the 1670s row covers 1675-1679.
british,British,2,1710,150,20,13.33,130,86.67,30,20.0,122,81.33,44,29.33,61,40.67,Birth decades are derived from Wikidata birth-year values; the 1670s row covers 1675-1679.
british,British,2,1720,197,33,16.75,163,82.74,42,21.32,171,86.8,42,21.32,61,30.96,Birth decades are derived from Wikidata birth-year values; the 1670s row covers 1675-1679.
british,British,2,1730,193,37,19.17,156,80.83,46,23.83,176,91.19,42,21.76,64,33.16,Birth decades are derived from Wikidata birth-year values; the 1670s row covers 1675-1679.
british,British,2,1740,273,46,16.85,227,83.15,52,19.05,237,86.81,58,21.25,88,32.23,Birth decades are derived from Wikidata birth-year values; the 1670s row covers 1675-1679.
british,British,2,1750,311,93,29.9,217,69.77,50,16.08,255,81.99,82,26.37,110,35.37,Birth decades are derived from Wikidata birth-year values; the 1670s row covers 1675-1679.
british,British,2,1760,322,73,22.67,249,77.33,74,22.98,270,83.85,73,22.67,123,38.2,Birth decades are derived from Wikidata birth-year values; the 1670s row covers 1675-1679.
british,British,2,1770,236,54,22.88,182,77.12,45,19.07,198,83.9,46,19.49,73,30.93,Birth decades are derived from Wikidata birth-year values; the 1670s row covers 1675-1679.
china,China/Qing,3,1670,8,0,0.0,8,100.0,1,12.5,6,75.0,7,87.5,7,87.5,Birth decades are derived from Wikidata birth-year values; the 1670s row covers 1675-1679.
china,China/Qing,3,1680,26,2,7.69,21,80.77,0,0.0,22,84.62,16,61.54,16,61.54,Birth decades are derived from Wikidata birth-year values; the 1670s row covers 1675-1679.
china,China/Qing,3,1690,35,16,45.71,19,54.29,0,0.0,21,60.0,26,74.29,26,74.29,Birth decades are derived from Wikidata birth-year values; the 1670s row covers 1675-1679.
china,China/Qing,3,1700,28,6,21.43,21,75.0,3,10.71,20,71.43,18,64.29,20,71.43,Birth decades are derived from Wikidata birth-year values; the 1670s row covers 1675-1679.
china,China/Qing,3,1710,27,7,25.93,20,74.07,1,3.7,21,77.78,17,62.96,18,66.67,Birth decades are derived from Wikidata birth-year values; the 1670s row covers 1675-1679.
china,China/Qing,3,1720,38,13,34.21,24,63.16,1,2.63,24,63.16,28,73.68,29,76.32,Birth decades are derived from Wikidata birth-year values; the 1670s row covers 1675-1679.
china,China/Qing,3,1730,63,31,49.21,31,49.21,3,4.76,31,49.21,53,84.13,54,85.71,Birth decades are derived from Wikidata birth-year values; the 1670s row covers 1675-1679.
china,China/Qing,3,1740,42,11,26.19,27,64.29,0,0.0,28,66.67,32,76.19,33,78.57,Birth decades are derived from Wikidata birth-year values; the 1670s row covers 1675-1679.
china,China/Qing,3,1750,53,26,49.06,26,49.06,3,5.66,30,56.6,36,67.92,38,71.7,Birth decades are derived from Wikidata birth-year values; the 1670s row covers 1675-1679.
china,China/Qing,3,1760,73,39,53.42,32,43.84,1,1.37,37,50.68,61,83.56,64,87.67,Birth decades are derived from Wikidata birth-year values; the 1670s row covers 1675-1679.
china,China/Qing,3,1770,31,17,54.84,13,41.94,1,3.23,18,58.06,25,80.65,25,80.65,Birth decades are derived from Wikidata birth-year values; the 1670s row covers 1675-1679.
