wikidata_id,person_id,name,birth_year_values,birth_place_values,birth_scope_category,birth_place_labels
http://www.wikidata.org/entity/Q3613846,Q3613846,Ambrogio Soldani,1736,,europe,Pratovecchio
http://www.wikidata.org/entity/Q94579012,Q94579012,Ambrogio Viale,1769,,europe,Cervo
http://www.wikidata.org/entity/Q110548686,Q110548686,Ambroise Lucien Rollin,1692,,europe,Trois-Rivières
http://www.wikidata.org/entity/Q3557900,Q3557900,Anastasios Michail,1675,,europe,Náoussa
http://www.wikidata.org/entity/Q12253505,Q12253505,Andre Baraziart,1738,,europe,Ustaritz
http://www.wikidata.org/entity/Q1152842,Q1152842,Andrea Leone Tottola,1701,,europe,Naples
http://www.wikidata.org/entity/Q3615851,Q3615851,Andrea Mazzarella,1764,,europe,Cerreto Sannita
http://www.wikidata.org/entity/Q3615920,Q3615920,Andrea Pasta,1706,,europe,Bergame
http://www.wikidata.org/entity/Q3616079,Q3616079,Andrea Trabucco,1715,,europe,Bénévent
http://www.wikidata.org/entity/Q109853529,Q109853529,Andrea Willi,1733,,europe,Vérone
http://www.wikidata.org/entity/Q94929797,Q94929797,Andreas Belach,1717,,europe,Wrocław
http://www.wikidata.org/entity/Q94919058,Q94919058,Andreas Christian Gierlew,1774,,europe,Roskilde
http://www.wikidata.org/entity/Q94902412,Q94902412,Andreas Chrysogon Eichler,1762,,europe,Litoměřice
http://www.wikidata.org/entity/Q497418,Q497418,Andreas Georg Waehner,1693,,europe,comté de Hoya
http://www.wikidata.org/entity/Q55901658,Q55901658,Andreas Gottlieb Hartmann,1751,,europe,Bautzen
http://www.wikidata.org/entity/Q94940200,Q94940200,Andreas Grader,1753,,europe,Tallinn
http://www.wikidata.org/entity/Q106592312,Q106592312,Andreas Grassmann,1704,,europe,Ženklava
http://www.wikidata.org/entity/Q94870320,Q94870320,Andreas Gross,1685,,europe,Strasbourg
http://www.wikidata.org/entity/Q23060705,Q23060705,Andreas Grüning,1756,,europe,Selk
http://www.wikidata.org/entity/Q94527425,Q94527425,Andreas Heinrich von Fabrice (Fabrici),1765,,europe,Vienne
http://www.wikidata.org/entity/Q94889736,Q94889736,Andreas Josef von Guttenberg,1770,,europe,Vienne
http://www.wikidata.org/entity/Q18608847,Q18608847,Andreas Kretzschmer,1775,,europe,Szczecin
http://www.wikidata.org/entity/Q28025751,Q28025751,Andreas Lanærus,1738,,europe,Lunds domkyrkoförsamling
http://www.wikidata.org/entity/Q55126321,Q55126321,Andreas Rehberger,1716,,europe,Nuremberg
http://www.wikidata.org/entity/Q55679068,Q55679068,Andreas Rettich,1726,,europe,Ehingen
http://www.wikidata.org/entity/Q95604904,Q95604904,Andreas Stöttrup,1754,,europe,Hambourg
http://www.wikidata.org/entity/Q94577517,Q94577517,Andreas Thorwächter,1760,,europe,Sibiu
http://www.wikidata.org/entity/Q23062396,Q23062396,Andreas Wasserburg,1775,,europe,Mayence
http://www.wikidata.org/entity/Q501164,Q501164,Andreas Weber,1718,,europe,Eisleben
http://www.wikidata.org/entity/Q94893980,Q94893980,Andreas Wilcke,1771,,europe,Grabow
http://www.wikidata.org/entity/Q4757616,Q4757616,Andrew Kippis,1725,,europe,Nottingham
http://www.wikidata.org/entity/Q20525267,Q20525267,Andrija Balović,1721,,europe,Perast
http://www.wikidata.org/entity/Q93450519,Q93450519,Andrzej Schott,1707,,europe,Gdańsk
http://www.wikidata.org/entity/Q109811576,Q109811576,André-Ignace-Joseph Dufresnoy,1733,,europe,Valenciennes
http://www.wikidata.org/entity/Q83986071,Q83986071,Andrés Amat de Tortosa,1733,,europe,Huécija
http://www.wikidata.org/entity/Q55842677,Q55842677,Angelinus Brinkmann,1683,,europe,Dingelstädt
http://www.wikidata.org/entity/Q320799,Q320799,Angelo Anelli,1761,,europe,Desenzano del Garda
http://www.wikidata.org/entity/Q340177,Q340177,Angelo Fabroni,1732,,europe,Marradi
http://www.wikidata.org/entity/Q18944999,Q18944999,Angelo Felice Capelli,1681,,europe,Parme
http://www.wikidata.org/entity/Q3617082,Q3617082,Angelo Maria d'Elci,1754,,europe,Florence
http://www.wikidata.org/entity/Q3617090,Q3617090,Angelo Mazza,1741,,europe,Parme
http://www.wikidata.org/entity/Q12626933,Q12626933,Anica Bošković,1714,,europe,république de Raguse
http://www.wikidata.org/entity/Q94772280,Q94772280,Anna Dorothea Elisa Nolde,1772,,europe,Schwerin
http://www.wikidata.org/entity/Q55902327,Q55902327,Anna Elisabeth Behaim,1685,,europe,Zechau
http://www.wikidata.org/entity/Q94771583,Q94771583,Anna Euphrosina Mogen,1686,,europe,Ansbach
