wikidata_id,person_id,name,candidate_affiliation_count,best_candidate_affiliation,top_candidate_affiliations,top_supporting_evidence_count,second_supporting_evidence_count,top_candidate_tie_count,available_mapped_evidence_count,total_evidence_fields,top_score_over_total_fields,top_score_over_available_fields,score_formula,available_score_formula
http://www.wikidata.org/entity/Q7310058,Q7310058,Reier Gjellebøl,0,,,0,0,0,0,8,0.0,,0 / 8,
http://www.wikidata.org/entity/Q7310289,Q7310289,Reine Philiberte de Varicourt,2,France,France,2,1,1,3,8,0.25,0.6667,2 / 8,2 / 3
http://www.wikidata.org/entity/Q7310391,Q7310391,Reinier Boitet,2,Dutch,Dutch,4,2,1,4,8,0.5,1.0,4 / 8,4 / 4
http://www.wikidata.org/entity/Q73162055,Q73162055,François Soulès,1,France,France,3,0,1,3,8,0.375,1.0,3 / 8,3 / 3
http://www.wikidata.org/entity/Q73174172,Q73174172,Ibrahim ibn Muhammad al-Attar,2,Ottoman,Ottoman,3,1,1,4,8,0.375,0.75,3 / 8,3 / 4
http://www.wikidata.org/entity/Q73175,Q73175,August Hermann Niemeyer,2,,German | Germany,4,0,2,5,8,0.5,0.8,4 / 8,4 / 5
http://www.wikidata.org/entity/Q73180939,Q73180939,Ahmad ibn Abdullah al-Suwaydi,1,Ottoman,Ottoman,3,0,1,3,8,0.375,1.0,3 / 8,3 / 3
http://www.wikidata.org/entity/Q731937,Q731937,José Celestino Bruno Mutis y Bosio,1,Spanish,Spanish,3,0,1,3,8,0.375,1.0,3 / 8,3 / 3
http://www.wikidata.org/entity/Q7319597,Q7319597,Reynold Gideon Bouyer,0,,,0,0,0,0,8,0.0,,0 / 8,
http://www.wikidata.org/entity/Q732320,Q732320,Hyacinthe Robillard d'Avrigny,2,France,France,3,1,1,4,8,0.375,0.75,3 / 8,3 / 4
http://www.wikidata.org/entity/Q732325,Q732325,Louis Cousin-Despréaux,2,France,France,4,2,1,6,8,0.5,0.6667,4 / 8,4 / 6
http://www.wikidata.org/entity/Q7323708,Q7323708,Richard Alsop,1,Anglophone,Anglophone,2,0,1,2,8,0.25,1.0,2 / 8,2 / 2
http://www.wikidata.org/entity/Q7323925,Q7323925,Richard Baker,0,,,0,0,0,0,8,0.0,,0 / 8,
http://www.wikidata.org/entity/Q7324273,Q7324273,Richard Boulton,1,British,British,1,0,1,1,8,0.125,1.0,1 / 8,1 / 1
http://www.wikidata.org/entity/Q7324389,Q7324389,Richard Brown,1,British,British,3,0,1,3,8,0.375,1.0,3 / 8,3 / 3
http://www.wikidata.org/entity/Q7324393,Q7324393,Richard Brown,0,,,0,0,0,0,8,0.0,,0 / 8,
http://www.wikidata.org/entity/Q732446,Q732446,Sachal Sarmast,3,British,British,2,1,1,3,8,0.25,0.6667,2 / 8,2 / 3
http://www.wikidata.org/entity/Q7324470,Q7324470,Richard Burnham,1,British,British,2,0,1,2,8,0.25,1.0,2 / 8,2 / 2
http://www.wikidata.org/entity/Q7324471,Q7324471,Richard Burnham,1,British,British,1,0,1,1,8,0.125,1.0,1 / 8,1 / 1
http://www.wikidata.org/entity/Q7325321,Q7325321,Richard Duppa,2,British,British,3,1,1,4,8,0.375,0.75,3 / 8,3 / 4
http://www.wikidata.org/entity/Q7325420,Q7325420,Richard Eastcott,2,,Anglophone | British,1,0,2,2,8,0.125,0.5,1 / 8,1 / 2
http://www.wikidata.org/entity/Q7325437,Q7325437,Richard Edgcumbe,1,Anglophone,Anglophone,1,0,1,1,8,0.125,1.0,1 / 8,1 / 1
http://www.wikidata.org/entity/Q7325647,Q7325647,Richard Fenton,1,British,British,2,0,1,2,8,0.25,1.0,2 / 8,2 / 2
http://www.wikidata.org/entity/Q7326061,Q7326061,Richard Greene,1,British,British,1,0,1,1,8,0.125,1.0,1 / 8,1 / 1
http://www.wikidata.org/entity/Q7326126,Q7326126,Richard Gwinnett,0,,,0,0,0,0,8,0.0,,0 / 8,
http://www.wikidata.org/entity/Q7326806,Q7326806,Richard Jago,0,,,0,0,0,0,8,0.0,,0 / 8,
http://www.wikidata.org/entity/Q732729,Q732729,Nicolas Edme Restif de La Bretonne,2,,France | French,3,0,2,6,8,0.375,0.5,3 / 8,3 / 6
http://www.wikidata.org/entity/Q7327422,Q7327422,Richard Llwyd,1,British,British,3,0,1,3,8,0.375,1.0,3 / 8,3 / 3
http://www.wikidata.org/entity/Q7327908,Q7327908,Richard Morris,1,British,British,1,0,1,1,8,0.125,1.0,1 / 8,1 / 1
http://www.wikidata.org/entity/Q7328333,Q7328333,Richard Pearson,0,,,0,0,0,0,8,0.0,,0 / 8,
http://www.wikidata.org/entity/Q7328472,Q7328472,Richard Polwhele,1,British,British,3,0,1,3,8,0.375,1.0,3 / 8,3 / 3
http://www.wikidata.org/entity/Q7328709,Q7328709,Richard Roderick,0,,,0,0,0,0,8,0.0,,0 / 8,
http://www.wikidata.org/entity/Q7328896,Q7328896,Richard Saumarez,2,British,British,3,1,1,4,8,0.375,0.75,3 / 8,3 / 4
http://www.wikidata.org/entity/Q7329008,Q7329008,Richard Shepherd,2,,Anglophone | British,1,0,2,2,8,0.125,0.5,1 / 8,1 / 2
http://www.wikidata.org/entity/Q7329838,Q7329838,Richard Watson,2,British,British,3,2,1,5,8,0.375,0.6,3 / 8,3 / 5
http://www.wikidata.org/entity/Q7329843,Q7329843,Richard Watson Dickson,1,British,British,3,0,1,3,8,0.375,1.0,3 / 8,3 / 3
http://www.wikidata.org/entity/Q7330343,Q7330343,Richardson Pack,1,British,British,1,0,1,1,8,0.125,1.0,1 / 8,1 / 1
http://www.wikidata.org/entity/Q7330718,Q7330718,Richmal Mangnall,0,,,0,0,0,0,8,0.0,,0 / 8,
http://www.wikidata.org/entity/Q733161,Q733161,Claude-Prosper Jolyot de Crébillon,2,,France | French,3,0,2,6,8,0.375,0.5,3 / 8,3 / 6
http://www.wikidata.org/entity/Q7335098,Q7335098,Rinse Koopman,1,Dutch,Dutch,3,0,1,3,8,0.375,1.0,3 / 8,3 / 3
http://www.wikidata.org/entity/Q7335391,Q7335391,Richard Barrett,1,British,British,1,0,1,1,8,0.125,1.0,1 / 8,1 / 1
http://www.wikidata.org/entity/Q73359,Q73359,Adolf Müllner,2,German,German,5,3,1,6,8,0.625,0.8333,5 / 8,5 / 6
http://www.wikidata.org/entity/Q7340092,Q7340092,Rob Donn,1,British,British,2,0,1,2,8,0.25,1.0,2 / 8,2 / 2
http://www.wikidata.org/entity/Q7341384,Q7341384,Robert Ainslie,1,British,British,1,0,1,1,8,0.125,1.0,1 / 8,1 / 1
http://www.wikidata.org/entity/Q7341443,Q7341443,Robert Allan,2,,British | French,1,0,2,2,8,0.125,0.5,1 / 8,1 / 2
http://www.wikidata.org/entity/Q7341482,Q7341482,Robert Alves,2,British,British,3,2,1,5,8,0.375,0.6,3 / 8,3 / 5
http://www.wikidata.org/entity/Q7341513,Q7341513,Robert Anderson,1,British,British,1,0,1,1,8,0.125,1.0,1 / 8,1 / 1
http://www.wikidata.org/entity/Q7341531,Q7341531,Robert Andrews,2,,Anglophone | British,1,0,2,2,8,0.125,0.5,1 / 8,1 / 2
http://www.wikidata.org/entity/Q7341565,Q7341565,Robert Arbuthnot,1,British,British,3,0,1,3,8,0.375,1.0,3 / 8,3 / 3
http://www.wikidata.org/entity/Q7341787,Q7341787,Robert Bage,2,,Anglophone | British,2,0,2,4,8,0.25,0.5,2 / 8,2 / 4
http://www.wikidata.org/entity/Q7341973,Q7341973,Robert Beatson,2,British,British,3,2,1,5,8,0.375,0.6,3 / 8,3 / 5
http://www.wikidata.org/entity/Q7342119,Q7342119,Robert Bisset,0,,,0,0,0,0,8,0.0,,0 / 8,
http://www.wikidata.org/entity/Q7342193,Q7342193,Robert Bolling,2,Anglophone,Anglophone,2,1,1,3,8,0.25,0.6667,2 / 8,2 / 3
http://www.wikidata.org/entity/Q7342236,Q7342236,Robert Bourne,1,British,British,2,0,1,2,8,0.25,1.0,2 / 8,2 / 2
http://www.wikidata.org/entity/Q7342301,Q7342301,Robert Bradstreet,0,,,0,0,0,0,8,0.0,,0 / 8,
http://www.wikidata.org/entity/Q7342782,Q7342782,Robert Carr Brackenbury,0,,,0,0,0,0,8,0.0,,0 / 8,
http://www.wikidata.org/entity/Q7343203,Q7343203,Robert Cromek,1,British,British,2,0,1,2,8,0.25,1.0,2 / 8,2 / 2
http://www.wikidata.org/entity/Q7343696,Q7343696,Robert Dunlap,1,Anglophone,Anglophone,1,0,1,1,8,0.125,1.0,1 / 8,1 / 1
http://www.wikidata.org/entity/Q7344292,Q7344292,Robert Fellowes,0,,,0,0,0,0,8,0.0,,0 / 8,
http://www.wikidata.org/entity/Q7344905,Q7344905,Robert Graham of Gartmore,2,Anglophone,Anglophone,2,1,1,3,8,0.25,0.6667,2 / 8,2 / 3
http://www.wikidata.org/entity/Q7345323,Q7345323,Robert Hawker,0,,,0,0,0,0,8,0.0,,0 / 8,
http://www.wikidata.org/entity/Q7345539,Q7345539,Robert Hodgson,1,British,British,3,0,1,3,8,0.375,1.0,3 / 8,3 / 3
http://www.wikidata.org/entity/Q7346055,Q7346055,Robert James Turnbull,1,Anglophone,Anglophone,2,0,1,2,8,0.25,1.0,2 / 8,2 / 2
