wikidata_id,person_id,name,birth_year,slice_id,review_group,has_any_slice_evidence,has_citizenship_evidence,has_place_context_evidence,has_birth_place_context_evidence,citizenship_match_ids,citizenship_match_labels,place_context_match_ids,place_context_match_labels,birth_place_context_match_ids,birth_place_context_match_labels,matched_place_roles,legacy_french_seed_member
http://www.wikidata.org/entity/Q3308431,Q3308431,Joseph Strutt,1749,british,British,True,True,True,True,Q161885 | Q174193,Kingdom of Great Britain | United Kingdom of Great Britain and Ireland,Q145 | Q161885 | Q174193 | Q179876 | Q21,England | Kingdom of England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,Q145,United Kingdom,birth_place | death_place | residence,False
http://www.wikidata.org/entity/Q56006907,Q56006907,Joseph Strutt,1775,british,British,True,False,True,False,,,Q145,United Kingdom,,,death_place | work_location,False
http://www.wikidata.org/entity/Q6287267,Q6287267,Joseph Swain,1761,british,British,True,True,False,False,Q161885,Kingdom of Great Britain,,,,,,False
http://www.wikidata.org/entity/Q27670145,Q27670145,Joseph Thurston,1704,british,British,True,True,False,False,Q161885 | Q179876,Kingdom of England | Kingdom of Great Britain,,,,,,False
http://www.wikidata.org/entity/Q2617349,Q2617349,Joseph Warton,1722,british,British,True,False,True,True,,,Q145 | Q161885 | Q174193 | Q179876 | Q21,England | Kingdom of England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,Q145 | Q161885 | Q174193 | Q179876 | Q21,England | Kingdom of England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,birth_place | death_place,False
http://www.wikidata.org/entity/Q18810993,Q18810993,Joseph Welch,1750,british,British,True,True,False,False,Q161885 | Q174193,Kingdom of Great Britain | United Kingdom of Great Britain and Ireland,,,,,,False
http://www.wikidata.org/entity/Q6287916,Q6287916,Joseph White,1745,british,British,True,True,True,True,Q161885 | Q174193,Kingdom of Great Britain | United Kingdom of Great Britain and Ireland,Q145 | Q161885 | Q174193 | Q179876 | Q21,England | Kingdom of England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,Q145 | Q161885 | Q174193 | Q21,England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,birth_place | death_place,False
http://www.wikidata.org/entity/Q92096950,Q92096950,Joseph-Hippolyte Duvivier,1752,british,British,True,False,True,False,,,Q179876,Kingdom of England,,,death_place,False
http://www.wikidata.org/entity/Q18674046,Q18674046,Joshua Jenour,1755,british,British,True,True,False,False,Q161885 | Q174193,Kingdom of Great Britain | United Kingdom of Great Britain and Ireland,,,,,,False
http://www.wikidata.org/entity/Q56007087,Q56007087,Joshua Montefiore,1762,british,British,True,True,True,True,Q161885 | Q174193,Kingdom of Great Britain | United Kingdom of Great Britain and Ireland,Q145 | Q161885 | Q174193 | Q179876 | Q21,England | Kingdom of England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,Q145 | Q161885 | Q174193 | Q179876 | Q21,England | Kingdom of England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,birth_place,False
http://www.wikidata.org/entity/Q16854017,Q16854017,Joshua Parry,1719,british,British,True,False,True,True,,,Q145 | Q161885 | Q174193 | Q179876,Kingdom of England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,Q145 | Q161885 | Q174193 | Q179876,Kingdom of England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,birth_place,False
http://www.wikidata.org/entity/Q194402,Q194402,Joshua Reynolds,1723,british,British,True,True,True,True,Q161885,Kingdom of Great Britain,Q145 | Q161885 | Q174193 | Q179876 | Q21,England | Kingdom of England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,Q145 | Q161885 | Q174193 | Q179876 | Q21,England | Kingdom of England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,birth_place | death_place | work_location,False
http://www.wikidata.org/entity/Q18576602,Q18576602,Josiah Dornford,1763,british,British,True,True,False,False,Q161885,Kingdom of Great Britain,,,,,,False
http://www.wikidata.org/entity/Q18732816,Q18732816,Josiah Martin,1685,british,British,True,True,False,False,Q161885 | Q179876,Kingdom of England | Kingdom of Great Britain,,,,,,False
http://www.wikidata.org/entity/Q376529,Q376529,Josiah Quincy II,1744,british,British,True,False,True,True,,,Q145 | Q161885 | Q179876 | Q179997,Kingdom of England | Kingdom of Great Britain | Thirteen Colonies | United Kingdom,Q145 | Q161885 | Q179876 | Q179997,Kingdom of England | Kingdom of Great Britain | Thirteen Colonies | United Kingdom,birth_place,False
http://www.wikidata.org/entity/Q1646391,Q1646391,Josiah Quincy III,1772,british,British,True,False,True,True,,,Q145 | Q161885 | Q179876 | Q179997,Kingdom of England | Kingdom of Great Britain | Thirteen Colonies | United Kingdom,Q145 | Q161885 | Q179876 | Q179997,Kingdom of England | Kingdom of Great Britain | Thirteen Colonies | United Kingdom,birth_place | work_location,False
http://www.wikidata.org/entity/Q6290605,Q6290605,Josiah Rees,1744,british,British,True,True,True,True,Q161885 | Q174193,Kingdom of Great Britain | United Kingdom of Great Britain and Ireland,Q145 | Q161885 | Q174193 | Q179876,Kingdom of England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,Q145 | Q161885 | Q174193 | Q179876,Kingdom of England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,birth_place | death_place | work_location,False
http://www.wikidata.org/entity/Q38238326,Q38238326,Josiah Walker,1761,british,British,True,True,False,False,Q161885 | Q174193,Kingdom of Great Britain | United Kingdom of Great Britain and Ireland,,,,,,False
http://www.wikidata.org/entity/Q919098,Q919098,José Cadalso,1741,british,British,True,False,True,False,,,Q145,United Kingdom,,,death_place,False
http://www.wikidata.org/entity/Q3047406,Q3047406,José María Blanco White,1775,british,British,True,False,True,False,,,Q145 | Q161885 | Q174193 | Q21,England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,,,death_place,False
http://www.wikidata.org/entity/Q4861101,Q4861101,Juan Pablo Viscardo y Guzmán,1748,british,British,True,False,True,False,,,Q145 | Q161885 | Q174193 | Q179876 | Q21,England | Kingdom of England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,,,death_place,True
http://www.wikidata.org/entity/Q6205387,Q6205387,Juan Ramis y Ramis,1746,british,British,True,True,False,False,Q8680,British Empire,,,,,,False
http://www.wikidata.org/entity/Q44922,Q44922,Judith Sargent Murray,1751,british,British,True,False,True,True,,,Q161885 | Q179876 | Q179997,Kingdom of England | Kingdom of Great Britain | Thirteen Colonies,Q161885 | Q179876 | Q179997,Kingdom of England | Kingdom of Great Britain | Thirteen Colonies,birth_place,False
http://www.wikidata.org/entity/Q504109,Q504109,Józef Boruwłaski,1739,british,British,True,False,True,False,,,Q145 | Q161885 | Q174193 | Q179876 | Q21,England | Kingdom of England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,,,death_place,False
http://www.wikidata.org/entity/Q6361840,Q6361840,Kane O'Hara,1712,british,British,True,True,True,True,Q27,Ireland,Q145 | Q174193 | Q215530 | Q27,Ireland | Kingdom of Ireland | United Kingdom | United Kingdom of Great Britain and Ireland,Q145 | Q27,Ireland | United Kingdom,birth_place | death_place,False
http://www.wikidata.org/entity/Q86928,Q86928,Karl Ludwig Giesecke,1761,british,British,True,False,True,False,,,Q174193 | Q215530 | Q27,Ireland | Kingdom of Ireland | United Kingdom of Great Britain and Ireland,,,death_place,False
http://www.wikidata.org/entity/Q18528278,Q18528278,Katherine Plymley,1758,british,British,True,False,True,True,,,Q145 | Q161885 | Q174193 | Q21,England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,Q145 | Q161885 | Q174193 | Q21,England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,birth_place,False
http://www.wikidata.org/entity/Q5052978,Q5052978,Katherine Wilmot,1773,british,British,True,False,True,True,,,Q174193 | Q27,Ireland | United Kingdom of Great Britain and Ireland,Q174193 | Q27,Ireland | United Kingdom of Great Britain and Ireland,birth_place,False
http://www.wikidata.org/entity/Q6395006,Q6395006,Keshavashram,1701,british,British,True,False,True,False,,,Q129286 | Q2001966 | Q8680,British Empire | British Raj | Company rule in India,,,death_place,False
http://www.wikidata.org/entity/Q6403425,Q6403425,Khwaja Haidar Ali Aatish,1764,british,British,True,False,True,True,,,Q129286 | Q2001966 | Q8680,British Empire | British Raj | Company rule in India,Q129286 | Q8680,British Empire | British Raj,birth_place | death_place,False
http://www.wikidata.org/entity/Q453294,Q453294,Kitty Clive,1711,british,British,True,True,True,True,Q161885,Kingdom of Great Britain,Q145 | Q161885 | Q174193 | Q179876 | Q21,England | Kingdom of England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,Q145 | Q161885 | Q174193 | Q179876 | Q21,England | Kingdom of England | Kingdom of Great Britain | United Kingdom | United Kingdom of Great Britain and Ireland,birth_place | death_place,False
