token_family,token_id,token_label,token_wikidata_url,occurrence_count,entity_count,example_names
spoken_written_language,Q33410,,https://www.wikidata.org/wiki/Q33410,1,1,Shah Muhammad Ramzan Mehami
spoken_written_language,Q33454,,https://www.wikidata.org/wiki/Q33454,1,1,Ousmane dan Fodio
spoken_written_language,Q33549,,https://www.wikidata.org/wiki/Q33549,1,1,Francisco Noroña
spoken_written_language,Q33655,,https://www.wikidata.org/wiki/Q33655,1,1,Abd al-Rahman Tsatsa
spoken_written_language,Q33813,,https://www.wikidata.org/wiki/Q33813,1,1,Jacobus Scheltema
spoken_written_language,Q33845,,https://www.wikidata.org/wiki/Q33845,1,1,Giacomo Antonio Gualzetti
spoken_written_language,Q33968,,https://www.wikidata.org/wiki/Q33968,1,1,Iwan Georgijewitsch Jalgusidse
spoken_written_language,Q33973,,https://www.wikidata.org/wiki/Q33973,1,1,Antonino Diliberto
spoken_written_language,Q34057,Tagalog,https://www.wikidata.org/wiki/Q34057,1,1,Joaquín Traggia
spoken_written_language,Q34108,,https://www.wikidata.org/wiki/Q34108,1,1,Diego de Torres Villarroel
spoken_written_language,Q34333,,https://www.wikidata.org/wiki/Q34333,1,1,Tenreiro Aranha
spoken_written_language,Q35228,,https://www.wikidata.org/wiki/Q35228,1,1,Hryhoriy Skovoroda
spoken_written_language,Q35243,,https://www.wikidata.org/wiki/Q35243,1,1,Kavikalanidhi Devarshi Shrikrishna Bhatt
spoken_written_language,Q35357,,https://www.wikidata.org/wiki/Q35357,1,1,József Ficzkó
spoken_written_language,Q3547774,,https://www.wikidata.org/wiki/Q3547774,1,1,Leonardo Brumati
spoken_written_language,Q35876,,https://www.wikidata.org/wiki/Q35876,1,1,Nicolás Yapuguay
spoken_written_language,Q36106,,https://www.wikidata.org/wiki/Q36106,1,1,Martino Piaggio
spoken_written_language,Q36368,,https://www.wikidata.org/wiki/Q36368,1,1,Muhammad ibn Sulayman al-Kurdi
spoken_written_language,Q36451,,https://www.wikidata.org/wiki/Q36451,1,1,Te Rauparaha
spoken_written_language,Q36759,,https://www.wikidata.org/wiki/Q36759,1,1,"Anurak Devesh, Deputy Viceroy of Rattanakosin"
spoken_written_language,Q36831,,https://www.wikidata.org/wiki/Q36831,1,1,Sayyodiy
spoken_written_language,Q37053,,https://www.wikidata.org/wiki/Q37053,1,1,Agostino dal Pozzo
spoken_written_language,Q37733,,https://www.wikidata.org/wiki/Q37733,1,1,Raphaël Berdugo
spoken_written_language,Q387066,,https://www.wikidata.org/wiki/Q387066,1,1,Jost Bernhard Häfliger
spoken_written_language,Q5218,,https://www.wikidata.org/wiki/Q5218,1,1,Bernardo Recio
spoken_written_language,Q5326692,,https://www.wikidata.org/wiki/Q5326692,1,1,Kimuro Bōun
spoken_written_language,Q547462,,https://www.wikidata.org/wiki/Q547462,1,1,Francesco Pertusati
spoken_written_language,Q56612,Samaritan Aramaic,https://www.wikidata.org/wiki/Q56612,1,1,Antoine-Isaac Silvestre de Sacy
spoken_written_language,Q56944,,https://www.wikidata.org/wiki/Q56944,1,1,Nicolás Yapuguay
spoken_written_language,Q6446173,,https://www.wikidata.org/wiki/Q6446173,1,1,Gourangiya Singh
spoken_written_language,Q6593714,,https://www.wikidata.org/wiki/Q6593714,1,1,David Friedrichsfeld
spoken_written_language,Q7224853,,https://www.wikidata.org/wiki/Q7224853,1,1,Yang Tingli
spoken_written_language,Q7930,,https://www.wikidata.org/wiki/Q7930,1,1,Francisco Noroña
spoken_written_language,Q838165,,https://www.wikidata.org/wiki/Q838165,1,1,Mihalj Šilobod
spoken_written_language,Q8821,,https://www.wikidata.org/wiki/Q8821,1,1,Petar I Petrović-Njegoš
spoken_written_language,Q9186,,https://www.wikidata.org/wiki/Q9186,1,1,Anders Ljungstedt
spoken_written_language,Q9246,,https://www.wikidata.org/wiki/Q9246,1,1,Changkya Rölpé Dorjé
writing_language,Q13389,,https://www.wikidata.org/wiki/Q13389,1,1,Salavat Ioulaïev
writing_language,Q1553250,,https://www.wikidata.org/wiki/Q1553250,1,1,Robert Burns
writing_language,Q1568,,https://www.wikidata.org/wiki/Q1568,1,1,Lallu Lal
writing_language,Q181074,,https://www.wikidata.org/wiki/Q181074,1,1,Paghtasar Dpir
writing_language,Q2093002,,https://www.wikidata.org/wiki/Q2093002,1,1,Q13056112
writing_language,Q31746,,https://www.wikidata.org/wiki/Q31746,1,1,Kochkhyur Said
writing_language,Q33251,,https://www.wikidata.org/wiki/Q33251,1,1,Arsenij Kocak
writing_language,Q33454,,https://www.wikidata.org/wiki/Q33454,1,1,Ousmane dan Fodio
writing_language,Q33810,,https://www.wikidata.org/wiki/Q33810,1,1,Kabi Surya Brahma
writing_language,Q33845,,https://www.wikidata.org/wiki/Q33845,1,1,Giacomo Antonio Gualzetti
writing_language,Q33902,,https://www.wikidata.org/wiki/Q33902,1,1,Lutf Ali
writing_language,Q34108,,https://www.wikidata.org/wiki/Q34108,1,1,Diego de Torres Villarroel
writing_language,Q35497,Ancient Greek,https://www.wikidata.org/wiki/Q35497,1,1,Hryhoriy Skovoroda
writing_language,Q36236,,https://www.wikidata.org/wiki/Q36236,1,1,Kunchan Nambiar
writing_language,Q547462,,https://www.wikidata.org/wiki/Q547462,1,1,Francesco Pertusati
writing_language,Q56475,,https://www.wikidata.org/wiki/Q56475,1,1,Ousmane dan Fodio
writing_language,Q7918,,https://www.wikidata.org/wiki/Q7918,1,1,Païssii de Hilendar
writing_language,Q7979,,https://www.wikidata.org/wiki/Q7979,1,1,Amabel Hume-Campbell
writing_language,Q8748,,https://www.wikidata.org/wiki/Q8748,1,1,Zenel Bastari
writing_language,Q9083,,https://www.wikidata.org/wiki/Q9083,1,1,Kristijonas Donelaitis
writing_language,Q9199,,https://www.wikidata.org/wiki/Q9199,1,1,Hồ Xuân Hương
writing_language,Q9252,,https://www.wikidata.org/wiki/Q9252,1,1,Bukhar-zhirau Kalmakanov
writing_language,Q9267,,https://www.wikidata.org/wiki/Q9267,1,1,Magtymguly Pyragy
writing_language,Q9314,,https://www.wikidata.org/wiki/Q9314,1,1,Lachlan Macpherson
