language_edition,place_affiliation_category,represented_entities,cohort_group_entities,language_represented_entities,cohort_total_entities,cohort_group_share_pct,language_group_share_pct,representation_rate_pct,representation_index
ptwiki,South Asian,2,41,973,14377,0.29,0.21,4.88,0.7241
ptwiki,Austrian/Habsburg,1,9,973,14377,0.06,0.1,11.11,1.6667
ptwiki,Estonian,1,10,973,14377,0.07,0.1,10.0,1.4286
ptwiki,Czech,0,117,973,14377,0.81,0.0,0.0,0.0
ptwiki,Czech/Slovak,0,3,973,14377,0.02,0.0,0.0,0.0
ptwiki,Egyptian,0,2,973,14377,0.01,0.0,0.0,0.0
ptwiki,Greek,0,32,973,14377,0.22,0.0,0.0,0.0
ptwiki,Haitian/Caribbean,0,4,973,14377,0.03,0.0,0.0,0.0
ptwiki,Lithuanian,0,4,973,14377,0.03,0.0,0.0,0.0
ptwiki,Low Countries,0,41,973,14377,0.29,0.0,0.0,0.0
ptwiki,Ragusan/Dalmatian,0,3,973,14377,0.02,0.0,0.0,0.0
ptwiki,Romanian/Moldavian,0,2,973,14377,0.01,0.0,0.0,0.0
ptwiki,Serbian,0,12,973,14377,0.08,0.0,0.0,0.0
ptwiki,Slovak,0,73,973,14377,0.51,0.0,0.0,0.0
ptwiki,Slovene,0,47,973,14377,0.33,0.0,0.0,0.0
ptwiki,Ukrainian,0,8,973,14377,0.06,0.0,0.0,0.0
ruwiki,mixed_or_ambiguous,588,2922,2436,14377,20.32,24.14,20.12,1.188
ruwiki,France,418,1457,2436,14377,10.13,17.16,28.69,1.694
ruwiki,Russian,315,367,2436,14377,2.55,12.93,85.83,5.0706
ruwiki,British,278,1241,2436,14377,8.63,11.41,22.4,1.3221
ruwiki,Germany,201,1280,2436,14377,8.9,8.25,15.7,0.927
ruwiki,no_place_context,128,3883,2436,14377,27.01,5.25,3.3,0.1944
ruwiki,Italian,79,550,2436,14377,3.83,3.24,14.36,0.846
ruwiki,no_mapped_place_affiliation,77,400,2436,14377,2.78,3.16,19.25,1.1367
ruwiki,Spanish,50,428,2436,14377,2.98,2.05,11.68,0.6879
ruwiki,Anglophone,44,188,2436,14377,1.31,1.81,23.4,1.3817
ruwiki,Swedish,38,209,2436,14377,1.45,1.56,18.18,1.0759
ruwiki,Polish,35,120,2436,14377,0.83,1.44,29.17,1.7349
ruwiki,China,27,100,2436,14377,0.7,1.11,27.0,1.5857
ruwiki,Ottoman,26,222,2436,14377,1.54,1.07,11.71,0.6948
ruwiki,Swiss,19,132,2436,14377,0.92,0.78,14.39,0.8478
ruwiki,Danish,17,111,2436,14377,0.77,0.7,15.32,0.9091
ruwiki,Portuguese,16,72,2436,14377,0.5,0.66,22.22,1.32
ruwiki,Czech,10,117,2436,14377,0.81,0.41,8.55,0.5062
ruwiki,Dutch,10,159,2436,14377,1.11,0.41,6.29,0.3694
ruwiki,Greek,10,32,2436,14377,0.22,0.41,31.25,1.8636
ruwiki,German,9,20,2436,14377,0.14,0.37,45.0,2.6429
ruwiki,Slovak,8,73,2436,14377,0.51,0.33,10.96,0.6471
ruwiki,South Asian,7,41,2436,14377,0.29,0.29,17.07,1.0
ruwiki,Estonian,6,10,2436,14377,0.07,0.25,60.0,3.5714
ruwiki,Hungarian,6,108,2436,14377,0.75,0.25,5.56,0.3333
ruwiki,Ukrainian,4,8,2436,14377,0.06,0.16,50.0,2.6667
