wikidata_id,name,candidate_affiliation,possible_place_role_count,mapped_place_role_count,checked_place_role_count,place_score_share,supporting_place_roles,supporting_places,support_token_ids,birth_place_support,death_place_support,residence_support,work_location_support
http://www.wikidata.org/entity/Q95635548,Johann Gottlob Holzapfel,German,1,1,1,1.0,death_place,Schmalkalden (Q489147),Q12548,False,True,False,False
http://www.wikidata.org/entity/Q95635548,Johann Gottlob Holzapfel,Germany,1,1,1,1.0,death_place,Schmalkalden (Q489147),Q183,False,True,False,False
http://www.wikidata.org/entity/Q126925360,Johann Gottlob Kittel,German,2,2,2,1.0,death_place | work_location,Dresde (Q1731),Q12548 | Q55300,False,True,False,True
http://www.wikidata.org/entity/Q126925360,Johann Gottlob Kittel,Germany,2,2,2,1.0,death_place | work_location,Dresde (Q1731),Q1206012 | Q183,False,True,False,True
http://www.wikidata.org/entity/Q1694228,Johann Gottlob Krüger,German,3,3,3,1.0,birth_place | death_place | work_location,Brunswick (Q2773) | Halle-sur-Saale (Q2814),Q12548 | Q2415901 | Q55300 | Q7318 | Q830084,True,True,False,True
http://www.wikidata.org/entity/Q1694228,Johann Gottlob Krüger,Germany,3,3,3,1.0,birth_place | death_place | work_location,Brunswick (Q2773) | Halle-sur-Saale (Q2814),Q183 | Q27306 | Q41304 | Q43287,True,True,False,True
http://www.wikidata.org/entity/Q1567855,Johann Gottlob Vollsack,German,3,3,1,0.3333,work_location,Wittemberg (Q6837),Q55300,False,False,False,True
http://www.wikidata.org/entity/Q1567855,Johann Gottlob Vollsack,Germany,3,3,3,1.0,birth_place | death_place | work_location,Calau (Q532803) | Krina (Q696820) | Wittemberg (Q6837),Q183 | Q38872,True,True,False,True
http://www.wikidata.org/entity/Q1694235,Johann Gottlob Werner,German,3,3,1,0.3333,work_location,Wittemberg (Q6837),Q55300,False,False,False,True
http://www.wikidata.org/entity/Q1694235,Johann Gottlob Werner,Germany,3,3,3,1.0,birth_place | death_place | work_location,Arzberg (Q16029) | Jüterbog (Q486541) | Wittemberg (Q6837),Q1206012 | Q183 | Q38872 | Q43287,True,True,False,True
