token_family,token_id,token_label,token_wikidata_url,occurrence_count,entity_count,place_count,example_places,example_names
admin_country,Q736,Équateur,https://www.wikidata.org/wiki/Q736,5,5,3,Cayambe | Daule | Quito,Antonio de Alcedo | Catalina de Jesús Herrera | Eugenio Espejo | Juan Bautista Aguirre | Miguel de Gijón y León
admin_country,Q77,Uruguay,https://www.wikidata.org/wiki/Q77,5,5,2,Colonia del Sacramento | Montevideo,Francisco Xavier Ferreira | Jacinto Ventura de Molina | Joaquín Lencina | José Manuel Pérez Castellano | Manuel José de Lavardén
admin_country,Q842794,République socialiste de Roumanie,https://www.wikidata.org/wiki/Q842794,5,5,5,Académie princière de Bucarest | Canta | Cernatu de Sus | Corbi | Sibioara,Demeter Ágota | László Székely | Naum Râmniceanu | Neófytos Doúkas | Péter Bod
direct_country,Q1041,Sénégal,https://www.wikidata.org/wiki/Q1041,5,4,4,Afrique de l’Ouest | Fouta-Toro | Sénégal | Sénégambie,Jeffrey Brace | Mungo Park | Omar ibn Saïd | Phillis Wheatley
direct_country,Q1044,Sierra Leone,https://www.wikidata.org/wiki/Q1044,5,4,3,Afrique de l’Ouest | Freetown | Sierra Leone,Anna Maria Falconbridge | August Nordenskiöld | Jeffrey Brace | Mungo Park
direct_country,Q117,Ghana,https://www.wikidata.org/wiki/Q117,5,5,4,Afrique de l’Ouest | Ajumako | Axim | Ghana,Anton Wilhelm Amo | Belinda Royall | Jeffrey Brace | Mungo Park | Quobna Ottobah Cugoano
direct_country,Q12536,califat abbasside,https://www.wikidata.org/wiki/Q12536,5,4,1,Mossoul,Muḥammad Amīn ibn Khayr Allāh ʻUmarī | Muḥammad al-ʻUmarī | Q12224342 | Uthman al-Haya'i al-Jalili
direct_country,Q1760404,Uqaylides,https://www.wikidata.org/wiki/Q1760404,5,4,1,Mossoul,Muḥammad Amīn ibn Khayr Allāh ʻUmarī | Muḥammad al-ʻUmarī | Q12224342 | Uthman al-Haya'i al-Jalili
direct_country,Q189545,Zengides,https://www.wikidata.org/wiki/Q189545,5,4,1,Mossoul,Muḥammad Amīn ibn Khayr Allāh ʻUmarī | Muḥammad al-ʻUmarī | Q12224342 | Uthman al-Haya'i al-Jalili
direct_country,Q2017684,protectorat français de Tunisie,https://www.wikidata.org/wiki/Q2017684,5,4,1,Tunis,Hammude Paşa | Nehorai Garmon | Q12228476 | Sidi Brahim Riahi
direct_country,Q233,Malte,https://www.wikidata.org/wiki/Q233,5,4,3,La Valette | Malte | Rabat,Giovanni Antonio Ciantar | Giovanni Pietro Francesco Agius de Soldanis | Pierre Jean Louis Ovide Doublet | Vittorio Barzoni
direct_country,Q32,Luxembourg,https://www.wikidata.org/wiki/Q32,5,3,5,Echternach | Eich | Grevenmacher | Luxembourg | Pfaffenthal,Cyprien Merjai | Mathias Schou | Maurice Detten
direct_country,Q4628,îles Féroé,https://www.wikidata.org/wiki/Q4628,5,3,5,Kollafjørður | Miðvágur | Nes | Nólsoy | Sumba,Jens Christian Djurhuus | Jens Christian Svabo | Nólsoyar Páll
direct_country,Q711,Mongolie,https://www.wikidata.org/wiki/Q711,5,4,3,Altanbulag | Mongolie | Oulan-Bator,3rd Jebtsundamba Khutughtu | Lobzang Tenpai Dronme | Tutob Nyima | Zhavzan Luvsantu̇vdėnvaanchigzhigmėdzhamt︠s︡
direct_country,Q736,Équateur,https://www.wikidata.org/wiki/Q736,5,5,3,Cayambe | Daule | Quito,Antonio de Alcedo | Catalina de Jesús Herrera | Eugenio Espejo | Juan Bautista Aguirre | Miguel de Gijón y León
direct_country,Q752662,Hafsides,https://www.wikidata.org/wiki/Q752662,5,4,1,Tunis,Hammude Paşa | Nehorai Garmon | Q12228476 | Sidi Brahim Riahi
direct_country,Q837187,Hamdanides,https://www.wikidata.org/wiki/Q837187,5,4,1,Mossoul,Muḥammad Amīn ibn Khayr Allāh ʻUmarī | Muḥammad al-ʻUmarī | Q12224342 | Uthman al-Haya'i al-Jalili
admin_country,Q18097,Corée,https://www.wikidata.org/wiki/Q18097,4,3,2,Changgyeonggung | Séoul,Hyegyeong | Park Ji-won | Yi Ik
admin_country,Q18234383,Empire safavide,https://www.wikidata.org/wiki/Q18234383,4,4,3,Hajji Qushan | Kadhimiya | Şəmkir,Alʼuzry | Magtymguly Pyragy | Molla Veli Vidadi | Muhammad Zayni al-Baghdadi
admin_country,Q203493,royaume de Roumanie,https://www.wikidata.org/wiki/Q203493,4,4,4,Académie princière de Bucarest | Canta | Cernatu de Sus | Sibioara,Demeter Ágota | László Székely | Neófytos Doúkas | Péter Bod
admin_country,Q233,Malte,https://www.wikidata.org/wiki/Q233,4,3,2,La Valette | Rabat,Giovanni Antonio Ciantar | Giovanni Pietro Francesco Agius de Soldanis | Pierre Jean Louis Ovide Doublet
admin_country,Q258,Afrique du Sud,https://www.wikidata.org/wiki/Q258,4,4,3,Le Cap | Stellenbosch | cap de Bonne-Espérance,Johanna Engela Swellengrebel | Meent Borcherds | Nicolas-Louis de Lacaille | Q133692680
admin_country,Q2685298,République populaire roumaine,https://www.wikidata.org/wiki/Q2685298,4,4,4,Académie princière de Bucarest | Canta | Cernatu de Sus | Sibioara,Demeter Ágota | László Székely | Neófytos Doúkas | Péter Bod
admin_country,Q28179,période Joseon,https://www.wikidata.org/wiki/Q28179,4,3,2,Changgyeonggung | Séoul,Hyegyeong | Park Ji-won | Yi Ik
admin_country,Q28233,Empire de Corée,https://www.wikidata.org/wiki/Q28233,4,3,2,Changgyeonggung | Séoul,Hyegyeong | Park Ji-won | Yi Ik
admin_country,Q32,Luxembourg,https://www.wikidata.org/wiki/Q32,4,3,4,Echternach | Grevenmacher | Luxembourg | Pfaffenthal,Cyprien Merjai | Mathias Schou | Maurice Detten
admin_country,Q711,Mongolie,https://www.wikidata.org/wiki/Q711,4,3,2,Altanbulag | Oulan-Bator,3rd Jebtsundamba Khutughtu | Lobzang Tenpai Dronme | Zhavzan Luvsantu̇vdėnvaanchigzhigmėdzhamt︠s︡
admin_country,Q730,Suriname,https://www.wikidata.org/wiki/Q730,4,3,2,Jodensavanne | Paramaribo,David Nassy | François Levaillant | Paul François Roos
admin_country,Q739,Colombie,https://www.wikidata.org/wiki/Q739,4,4,3,Bogota | Carthagène des Indes | villa del Rosario,George Martine | José Celestino Bruno Mutis y Bosio | Juan Germán Roscio | Manuel del Socorro Rodríguez
admin_country,Q766,Jamaïque,https://www.wikidata.org/wiki/Q766,4,4,2,Kingston | Spanish Town,Anne Brodbelt | Francis Williams | Robert Dallas | Teresia Constantia Muilman
admin_country,Q865,Taïwan,https://www.wikidata.org/wiki/Q865,4,1,3,Tainan | Yilan | comté de Penghu,Yang Tingli
admin_country,Q884,Corée du Sud,https://www.wikidata.org/wiki/Q884,4,4,4,Ansan | Changgyeonggung | Namyang-eup | Wonju,Hyegyeong | Im Yunjidang | Yi Ik | Yi Ok
direct_country,Q1011,Cap-Vert,https://www.wikidata.org/wiki/Q1011,4,4,2,Afrique de l’Ouest | Santiago,Domingos Vidal Barbosa Lage | Francisco de Paula Medina e Vasconcelos | Jeffrey Brace | Mungo Park
direct_country,Q1025,Mauritanie,https://www.wikidata.org/wiki/Q1025,4,4,3,Afrique de l’Ouest | Chinguetti | Fouta-Toro,Jeffrey Brace | Mungo Park | Omar ibn Saïd | Q113339773
direct_country,Q10463,Capitainerie générale du Venezuela,https://www.wikidata.org/wiki/Q10463,4,4,1,Caracas,Antonio Patricio de Alcalá Centeno | Francisco de Miranda | José Domingo Díaz | Simón Rodríguez
direct_country,Q1747689,Rome antique,https://www.wikidata.org/wiki/Q1747689,4,3,1,Homs,Amin bin Khaled Al-Jundi | Butrus Karamah | Mikhail al-Bahri
direct_country,Q188161,Indes orientales néerlandaises,https://www.wikidata.org/wiki/Q188161,4,4,2,Batavia | Surabaya,Carl Peter Thunberg | Daniël François van Alphen | Hebelius Potter | Johanna Maria van Riebeeck
direct_country,Q232,Kazakhstan,https://www.wikidata.org/wiki/Q232,4,3,3,Bayanaoul | Kazakhstan | district de Djamboul,Bukhar-zhirau Kalmakanov | Q12543332 | Q12543335
direct_country,Q258,Afrique du Sud,https://www.wikidata.org/wiki/Q258,4,4,3,Le Cap | Stellenbosch | cap de Bonne-Espérance,Johanna Engela Swellengrebel | Meent Borcherds | Nicolas-Louis de Lacaille | Q133692680
direct_country,Q3408341,province de Caracas,https://www.wikidata.org/wiki/Q3408341,4,4,1,Caracas,Antonio Patricio de Alcalá Centeno | Francisco de Miranda | José Domingo Díaz | Simón Rodríguez
direct_country,Q399,Arménie,https://www.wikidata.org/wiki/Q399,4,4,4,Arménie | Haghpat | Ochakan | Vanevan,Grigor Oshakantsi | Q121582669 | Sayat-Nova | Âşık Allahverdi
direct_country,Q503585,Corée durant la colonisation japonaise,https://www.wikidata.org/wiki/Q503585,4,4,2,Hoeryŏng | Séoul,Hyegyeong | Pak Che-ga | Park Ji-won | Yi Ik
direct_country,Q730,Q730,https://www.wikidata.org/wiki/Q730,4,3,2,Jodensavanne | Paramaribo,David Nassy | François Levaillant | Paul François Roos
direct_country,Q739,Colombie,https://www.wikidata.org/wiki/Q739,4,4,3,Bogota | Carthagène des Indes | villa del Rosario,George Martine | José Celestino Bruno Mutis y Bosio | Juan Germán Roscio | Manuel del Socorro Rodríguez
direct_country,Q781,Antigua-et-Barbuda,https://www.wikidata.org/wiki/Q781,4,4,2,"Antigua | Falmouth, Antigua",Henrietta Liston | Samuel Martin | William Gilbert | William Young
direct_country,Q865,Taïwan,https://www.wikidata.org/wiki/Q865,4,1,3,Tainan | Yilan | comté de Penghu,Yang Tingli
direct_country,Q889,Afghanistan,https://www.wikidata.org/wiki/Q889,4,3,4,Afghanistan | Hérat | Kandahâr | Kheyrabad,Ahmad Shâh | Baba G Rehmat Ullah | Sayyodiy
direct_country,Q8965,vice-royauté de Nouvelle-Grenade,https://www.wikidata.org/wiki/Q8965,4,4,1,Caracas,Antonio Patricio de Alcalá Centeno | Francisco de Miranda | José Domingo Díaz | Simón Rodríguez
admin_country,Q1049,Soudan,https://www.wikidata.org/wiki/Q1049,3,2,2,Dongola | Khartoum,Giovanni Battista Brocchi | Ibrahim-Bey
admin_country,Q130229,République socialiste soviétique de Géorgie,https://www.wikidata.org/wiki/Q130229,3,3,3,Haghpat | Telavi | Vaqiri,Anton Ier de Géorgie | Iona Khelashvili | Sayat-Nova
admin_country,Q15102440,"royaume des Serbes, Croates et Slovènes",https://www.wikidata.org/wiki/Q15102440,3,3,3,Blagaj | Vareš | Žepče,Abdulvehab Ilhamija | Bishop fra Grgo Ilić | Fevzi Mostarac
admin_country,Q188712,empire du Japon,https://www.wikidata.org/wiki/Q188712,3,3,3,Hoeryŏng | Kanda | Shimo-Meguro,Aoki Kon’yō | Kameda Bōsai | Pak Che-ga
