language_edition,granular_bucket,bucket_family,represented_entities,bucket_entities,language_represented_entities,cohort_total_entities,bucket_entity_share_pct,language_bucket_share_pct,representation_rate_pct
ukwiki,Education / Scholarship / Humanities,Intellectual systems,272,2476,868,14377,17.22,31.34,10.99
ukwiki,Politics / Statecraft / Diplomacy,Institutional power,218,1040,868,14377,7.23,25.12,20.96
ukwiki,Translation / Philology / Languages,Literary and textual production,202,1355,868,14377,9.42,23.27,14.91
ukwiki,Philosophy,Intellectual systems,154,450,868,14377,3.13,17.74,34.22
ukwiki,Science / Natural History,Scientific knowledge,130,562,868,14377,3.91,14.98,23.13
ukwiki,Religion / Theology,Intellectual systems,116,2439,868,14377,16.96,13.36,4.76
ukwiki,Print / Publishing / Journalism,Literary and textual production,89,791,868,14377,5.5,10.25,11.25
ukwiki,Law / Administration,Institutional power,84,1094,868,14377,7.61,9.68,7.68
ukwiki,Visual Arts / Architecture / Design,Arts and performance,82,529,868,14377,3.68,9.45,15.5
ukwiki,Unmapped / Review,Needs review,74,469,868,14377,3.26,8.53,15.78
ukwiki,Music / Performance / Theatre,Arts and performance,72,665,868,14377,4.63,8.29,10.83
ukwiki,Military,Institutional power,68,411,868,14377,2.86,7.83,16.55
ukwiki,Sociability / Patronage / Court,Social and cultural mediation,55,262,868,14377,1.82,6.34,20.99
ukwiki,Economics / Commerce,Institutional power,53,332,868,14377,2.31,6.11,15.96
ukwiki,Medicine / Health,Scientific knowledge,40,417,868,14377,2.9,4.61,9.59
ukwiki,Travel / Geography / Exploration,Mobility and empire,37,231,868,14377,1.61,4.26,16.02
ukwiki,Engineering / Technology,Scientific knowledge,30,86,868,14377,0.6,3.46,34.88
ukwiki,Social Reform / Activism,Social and cultural mediation,22,71,868,14377,0.49,2.53,30.99
ukwiki,Craft / Trade / Industry,Material production,11,157,868,14377,1.09,1.27,7.01
