slice_id,context_label,context_order,gender_category,language_edition,slice_gender_entities,represented_entities,representation_pct,global_gender_entities,global_gender_representation_pct,representation_index_vs_global_gender,notes
france,France,0,unknown,svwiki,5,0,0.0,128,0.0,,Article presence in tracked editions; not article depth or cultural importance.
france,France,0,unknown,ukwiki,5,0,0.0,128,0.0,,Article presence in tracked editions; not article depth or cultural importance.
germany,Germany,1,female,dawiki,260,17,6.54,1743,2.52,2.5952,Article presence in tracked editions; not article depth or cultural importance.
germany,Germany,1,female,dewiki,260,177,68.08,1743,24.44,2.7856,Article presence in tracked editions; not article depth or cultural importance.
germany,Germany,1,female,enwiki,260,124,47.69,1743,53.47,0.8919,Article presence in tracked editions; not article depth or cultural importance.
germany,Germany,1,female,eswiki,260,58,22.31,1743,17.73,1.2583,Article presence in tracked editions; not article depth or cultural importance.
germany,Germany,1,female,frwiki,260,79,30.38,1743,25.53,1.19,Article presence in tracked editions; not article depth or cultural importance.
germany,Germany,1,female,itwiki,260,53,20.38,1743,13.25,1.5381,Article presence in tracked editions; not article depth or cultural importance.
germany,Germany,1,female,nlwiki,260,36,13.85,1743,8.61,1.6086,Article presence in tracked editions; not article depth or cultural importance.
germany,Germany,1,female,plwiki,260,45,17.31,1743,7.97,2.1719,Article presence in tracked editions; not article depth or cultural importance.
germany,Germany,1,female,ptwiki,260,25,9.62,1743,7.17,1.3417,Article presence in tracked editions; not article depth or cultural importance.
germany,Germany,1,female,ruwiki,260,64,24.62,1743,14.17,1.7375,Article presence in tracked editions; not article depth or cultural importance.
germany,Germany,1,female,svwiki,260,66,25.38,1743,19.97,1.2709,Article presence in tracked editions; not article depth or cultural importance.
germany,Germany,1,female,ukwiki,260,28,10.77,1743,5.22,2.0632,Article presence in tracked editions; not article depth or cultural importance.
germany,Germany,1,male,dawiki,3442,187,5.43,12505,4.19,1.2959,Article presence in tracked editions; not article depth or cultural importance.
germany,Germany,1,male,dewiki,3442,2025,58.83,12505,28.41,2.0707,Article presence in tracked editions; not article depth or cultural importance.
germany,Germany,1,male,enwiki,3442,812,23.59,12505,34.96,0.6748,Article presence in tracked editions; not article depth or cultural importance.
germany,Germany,1,male,eswiki,3442,288,8.37,12505,12.2,0.6861,Article presence in tracked editions; not article depth or cultural importance.
germany,Germany,1,male,frwiki,3442,618,17.95,12505,24.26,0.7399,Article presence in tracked editions; not article depth or cultural importance.
germany,Germany,1,male,itwiki,3442,470,13.65,12505,14.53,0.9394,Article presence in tracked editions; not article depth or cultural importance.
germany,Germany,1,male,nlwiki,3442,177,5.14,12505,6.24,0.8237,Article presence in tracked editions; not article depth or cultural importance.
germany,Germany,1,male,plwiki,3442,362,10.52,12505,8.53,1.2333,Article presence in tracked editions; not article depth or cultural importance.
germany,Germany,1,male,ptwiki,3442,186,5.4,12505,6.77,0.7976,Article presence in tracked editions; not article depth or cultural importance.
germany,Germany,1,male,ruwiki,3442,618,17.95,12505,17.49,1.0263,Article presence in tracked editions; not article depth or cultural importance.
germany,Germany,1,male,svwiki,3442,428,12.43,12505,11.81,1.0525,Article presence in tracked editions; not article depth or cultural importance.
germany,Germany,1,male,ukwiki,3442,204,5.93,12505,6.21,0.9549,Article presence in tracked editions; not article depth or cultural importance.
germany,Germany,1,unknown,dawiki,9,0,0.0,128,0.0,,Article presence in tracked editions; not article depth or cultural importance.
germany,Germany,1,unknown,dewiki,9,0,0.0,128,0.0,,Article presence in tracked editions; not article depth or cultural importance.
germany,Germany,1,unknown,enwiki,9,0,0.0,128,0.0,,Article presence in tracked editions; not article depth or cultural importance.
germany,Germany,1,unknown,eswiki,9,0,0.0,128,0.0,,Article presence in tracked editions; not article depth or cultural importance.
germany,Germany,1,unknown,frwiki,9,0,0.0,128,0.78,0.0,Article presence in tracked editions; not article depth or cultural importance.
germany,Germany,1,unknown,itwiki,9,0,0.0,128,0.0,,Article presence in tracked editions; not article depth or cultural importance.
germany,Germany,1,unknown,nlwiki,9,0,0.0,128,0.0,,Article presence in tracked editions; not article depth or cultural importance.
germany,Germany,1,unknown,plwiki,9,0,0.0,128,0.0,,Article presence in tracked editions; not article depth or cultural importance.
germany,Germany,1,unknown,ptwiki,9,0,0.0,128,0.0,,Article presence in tracked editions; not article depth or cultural importance.
germany,Germany,1,unknown,ruwiki,9,0,0.0,128,0.78,0.0,Article presence in tracked editions; not article depth or cultural importance.
germany,Germany,1,unknown,svwiki,9,0,0.0,128,0.0,,Article presence in tracked editions; not article depth or cultural importance.
germany,Germany,1,unknown,ukwiki,9,0,0.0,128,0.0,,Article presence in tracked editions; not article depth or cultural importance.
british,British,2,female,dawiki,418,10,2.39,1743,2.52,0.9484,Article presence in tracked editions; not article depth or cultural importance.
british,British,2,female,dewiki,418,103,24.64,1743,24.44,1.0082,Article presence in tracked editions; not article depth or cultural importance.
british,British,2,female,enwiki,418,386,92.34,1743,53.47,1.7269,Article presence in tracked editions; not article depth or cultural importance.
british,British,2,female,eswiki,418,91,21.77,1743,17.73,1.2279,Article presence in tracked editions; not article depth or cultural importance.
british,British,2,female,frwiki,418,127,30.38,1743,25.53,1.19,Article presence in tracked editions; not article depth or cultural importance.
british,British,2,female,itwiki,418,70,16.75,1743,13.25,1.2642,Article presence in tracked editions; not article depth or cultural importance.
british,British,2,female,nlwiki,418,32,7.66,1743,8.61,0.8897,Article presence in tracked editions; not article depth or cultural importance.
british,British,2,female,plwiki,418,41,9.81,1743,7.97,1.2309,Article presence in tracked editions; not article depth or cultural importance.
british,British,2,female,ptwiki,418,45,10.77,1743,7.17,1.5021,Article presence in tracked editions; not article depth or cultural importance.
british,British,2,female,ruwiki,418,58,13.88,1743,14.17,0.9795,Article presence in tracked editions; not article depth or cultural importance.
british,British,2,female,svwiki,418,69,16.51,1743,19.97,0.8267,Article presence in tracked editions; not article depth or cultural importance.
british,British,2,female,ukwiki,418,28,6.7,1743,5.22,1.2835,Article presence in tracked editions; not article depth or cultural importance.
british,British,2,male,dawiki,1679,96,5.72,12505,4.19,1.3652,Article presence in tracked editions; not article depth or cultural importance.
british,British,2,male,dewiki,1679,388,23.11,12505,28.41,0.8134,Article presence in tracked editions; not article depth or cultural importance.
