slice_id,context_label,context_order,metric,metric_label,entity_count,denominator,pct,notes,aggregation_level,gender_category,granular_bucket,bucket_family
france,France,0,no_mapped_affiliation_candidate,No mapped affiliation candidate,0,306,0.0,Entity has no mapped candidate in the affiliation evidence table.,context_bucket,All genders,Law / Administration,Institutional power
france,France,0,no_place_context,No place context,9,306,2.94,Entity has no mapped birth/death/residence/work-location evidence.,context_bucket,All genders,Law / Administration,Institutional power
france,France,0,no_tracked_wikipedia_article,No tracked Wikipedia article,75,306,24.51,Entity has no article in the tracked language-edition matrix.,context_bucket,All genders,Law / Administration,Institutional power
france,France,0,top_affiliation_tie,Top affiliation tie,69,306,22.55,Entity has more than one top-ranked affiliation candidate.,context_bucket,All genders,Law / Administration,Institutional power
france,France,0,low_evidence_affiliation,Low-evidence affiliation,8,87,9.2,Top affiliation candidate is supported by zero or one mapped evidence field.,context_bucket,All genders,Medicine / Health,Scientific knowledge
france,France,0,missing_country_of_citizenship,Missing citizenship,16,87,18.39,Entity has no Wikidata country-of-citizenship value.,context_bucket,All genders,Medicine / Health,Scientific knowledge
france,France,0,no_mapped_affiliation_candidate,No mapped affiliation candidate,0,87,0.0,Entity has no mapped candidate in the affiliation evidence table.,context_bucket,All genders,Medicine / Health,Scientific knowledge
france,France,0,no_place_context,No place context,3,87,3.45,Entity has no mapped birth/death/residence/work-location evidence.,context_bucket,All genders,Medicine / Health,Scientific knowledge
france,France,0,no_tracked_wikipedia_article,No tracked Wikipedia article,18,87,20.69,Entity has no article in the tracked language-edition matrix.,context_bucket,All genders,Medicine / Health,Scientific knowledge
france,France,0,top_affiliation_tie,Top affiliation tie,18,87,20.69,Entity has more than one top-ranked affiliation candidate.,context_bucket,All genders,Medicine / Health,Scientific knowledge
france,France,0,low_evidence_affiliation,Low-evidence affiliation,4,129,3.1,Top affiliation candidate is supported by zero or one mapped evidence field.,context_bucket,All genders,Military,Institutional power
france,France,0,missing_country_of_citizenship,Missing citizenship,10,129,7.75,Entity has no Wikidata country-of-citizenship value.,context_bucket,All genders,Military,Institutional power
france,France,0,no_mapped_affiliation_candidate,No mapped affiliation candidate,0,129,0.0,Entity has no mapped candidate in the affiliation evidence table.,context_bucket,All genders,Military,Institutional power
france,France,0,no_place_context,No place context,3,129,2.33,Entity has no mapped birth/death/residence/work-location evidence.,context_bucket,All genders,Military,Institutional power
france,France,0,no_tracked_wikipedia_article,No tracked Wikipedia article,16,129,12.4,Entity has no article in the tracked language-edition matrix.,context_bucket,All genders,Military,Institutional power
france,France,0,top_affiliation_tie,Top affiliation tie,32,129,24.81,Entity has more than one top-ranked affiliation candidate.,context_bucket,All genders,Military,Institutional power
france,France,0,low_evidence_affiliation,Low-evidence affiliation,15,188,7.98,Top affiliation candidate is supported by zero or one mapped evidence field.,context_bucket,All genders,Music / Performance / Theatre,Arts and performance
france,France,0,missing_country_of_citizenship,Missing citizenship,26,188,13.83,Entity has no Wikidata country-of-citizenship value.,context_bucket,All genders,Music / Performance / Theatre,Arts and performance
france,France,0,no_mapped_affiliation_candidate,No mapped affiliation candidate,0,188,0.0,Entity has no mapped candidate in the affiliation evidence table.,context_bucket,All genders,Music / Performance / Theatre,Arts and performance
france,France,0,no_place_context,No place context,10,188,5.32,Entity has no mapped birth/death/residence/work-location evidence.,context_bucket,All genders,Music / Performance / Theatre,Arts and performance
france,France,0,no_tracked_wikipedia_article,No tracked Wikipedia article,19,188,10.11,Entity has no article in the tracked language-edition matrix.,context_bucket,All genders,Music / Performance / Theatre,Arts and performance
france,France,0,top_affiliation_tie,Top affiliation tie,57,188,30.32,Entity has more than one top-ranked affiliation candidate.,context_bucket,All genders,Music / Performance / Theatre,Arts and performance
france,France,0,low_evidence_affiliation,Low-evidence affiliation,2,138,1.45,Top affiliation candidate is supported by zero or one mapped evidence field.,context_bucket,All genders,Philosophy,Intellectual systems
france,France,0,missing_country_of_citizenship,Missing citizenship,16,138,11.59,Entity has no Wikidata country-of-citizenship value.,context_bucket,All genders,Philosophy,Intellectual systems
france,France,0,no_mapped_affiliation_candidate,No mapped affiliation candidate,0,138,0.0,Entity has no mapped candidate in the affiliation evidence table.,context_bucket,All genders,Philosophy,Intellectual systems
france,France,0,no_place_context,No place context,1,138,0.72,Entity has no mapped birth/death/residence/work-location evidence.,context_bucket,All genders,Philosophy,Intellectual systems
france,France,0,no_tracked_wikipedia_article,No tracked Wikipedia article,5,138,3.62,Entity has no article in the tracked language-edition matrix.,context_bucket,All genders,Philosophy,Intellectual systems
france,France,0,top_affiliation_tie,Top affiliation tie,40,138,28.99,Entity has more than one top-ranked affiliation candidate.,context_bucket,All genders,Philosophy,Intellectual systems
france,France,0,low_evidence_affiliation,Low-evidence affiliation,10,357,2.8,Top affiliation candidate is supported by zero or one mapped evidence field.,context_bucket,All genders,Politics / Statecraft / Diplomacy,Institutional power
france,France,0,missing_country_of_citizenship,Missing citizenship,23,357,6.44,Entity has no Wikidata country-of-citizenship value.,context_bucket,All genders,Politics / Statecraft / Diplomacy,Institutional power
france,France,0,no_mapped_affiliation_candidate,No mapped affiliation candidate,0,357,0.0,Entity has no mapped candidate in the affiliation evidence table.,context_bucket,All genders,Politics / Statecraft / Diplomacy,Institutional power
france,France,0,no_place_context,No place context,3,357,0.84,Entity has no mapped birth/death/residence/work-location evidence.,context_bucket,All genders,Politics / Statecraft / Diplomacy,Institutional power
france,France,0,no_tracked_wikipedia_article,No tracked Wikipedia article,24,357,6.72,Entity has no article in the tracked language-edition matrix.,context_bucket,All genders,Politics / Statecraft / Diplomacy,Institutional power
france,France,0,top_affiliation_tie,Top affiliation tie,80,357,22.41,Entity has more than one top-ranked affiliation candidate.,context_bucket,All genders,Politics / Statecraft / Diplomacy,Institutional power
france,France,0,low_evidence_affiliation,Low-evidence affiliation,13,291,4.47,Top affiliation candidate is supported by zero or one mapped evidence field.,context_bucket,All genders,Print / Publishing / Journalism,Literary and textual production
france,France,0,missing_country_of_citizenship,Missing citizenship,25,291,8.59,Entity has no Wikidata country-of-citizenship value.,context_bucket,All genders,Print / Publishing / Journalism,Literary and textual production
france,France,0,no_mapped_affiliation_candidate,No mapped affiliation candidate,0,291,0.0,Entity has no mapped candidate in the affiliation evidence table.,context_bucket,All genders,Print / Publishing / Journalism,Literary and textual production
france,France,0,no_place_context,No place context,8,291,2.75,Entity has no mapped birth/death/residence/work-location evidence.,context_bucket,All genders,Print / Publishing / Journalism,Literary and textual production
france,France,0,no_tracked_wikipedia_article,No tracked Wikipedia article,51,291,17.53,Entity has no article in the tracked language-edition matrix.,context_bucket,All genders,Print / Publishing / Journalism,Literary and textual production
france,France,0,top_affiliation_tie,Top affiliation tie,75,291,25.77,Entity has more than one top-ranked affiliation candidate.,context_bucket,All genders,Print / Publishing / Journalism,Literary and textual production
france,France,0,low_evidence_affiliation,Low-evidence affiliation,43,330,13.03,Top affiliation candidate is supported by zero or one mapped evidence field.,context_bucket,All genders,Religion / Theology,Intellectual systems
france,France,0,missing_country_of_citizenship,Missing citizenship,91,330,27.58,Entity has no Wikidata country-of-citizenship value.,context_bucket,All genders,Religion / Theology,Intellectual systems
france,France,0,no_mapped_affiliation_candidate,No mapped affiliation candidate,0,330,0.0,Entity has no mapped candidate in the affiliation evidence table.,context_bucket,All genders,Religion / Theology,Intellectual systems
france,France,0,no_place_context,No place context,14,330,4.24,Entity has no mapped birth/death/residence/work-location evidence.,context_bucket,All genders,Religion / Theology,Intellectual systems
france,France,0,no_tracked_wikipedia_article,No tracked Wikipedia article,82,330,24.85,Entity has no article in the tracked language-edition matrix.,context_bucket,All genders,Religion / Theology,Intellectual systems
