wikidata_id,name,place_evidence_role_count,mapped_place_role_count,place_candidate_affiliation_count,best_place_candidate_affiliation,top_place_candidate_affiliations,top_place_checked_role_count,second_place_checked_role_count,top_place_score_share,top_place_candidate_tie_count,place_affiliation_review_status
http://www.wikidata.org/entity/Q372537,Etteilla,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q112446244,Eugen Karl Ludwig von Scheler,1,1,2,,German | Germany,1,1,1.0,2,mixed_place_top_score
http://www.wikidata.org/entity/Q90796595,Eugene Lucet,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q123615621,Eugenio Antonio del Riego,2,2,1,Spanish,Spanish,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q981513,Eugenio Espejo,2,1,1,Spanish,Spanish,1,0,0.5,1,single_place_signal
http://www.wikidata.org/entity/Q3847796,Eugenio Gerardo Lobo,2,2,1,Spanish,Spanish,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q2884073,Eugenio Larruga,1,1,1,Spanish,Spanish,1,0,1.0,1,single_place_signal
http://www.wikidata.org/entity/Q5408346,Eugenio de Llaguno y Amírola,2,2,1,Spanish,Spanish,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q1373363,Eugenios Voulgaris,4,4,6,Russian,Russian,3,2,0.75,1,moderate_place
http://www.wikidata.org/entity/Q122818,Eugène-François Vidocq,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q213720,Eugène-Frédéric de Wurtemberg,2,2,2,Germany,Germany,2,1,1.0,1,tentative_place
http://www.wikidata.org/entity/Q114871947,Eulalie Roucher,2,2,1,France,France,2,0,1.0,1,tentative_place
http://www.wikidata.org/entity/Q214023,Euloge Schneider,2,2,2,,France | Germany,1,1,0.5,2,mixed_place_top_score
http://www.wikidata.org/entity/Q1374196,Euphrosine Aue,2,2,3,,German | Germany | Polish,2,2,1.0,3,mixed_place_top_score
http://www.wikidata.org/entity/Q3061046,Eustache Degola,2,2,2,,France | Italian,2,2,1.0,2,mixed_place_top_score
