language_edition,affiliation_category,represented_entities,cohort_group_entities,language_represented_entities,cohort_total_entities,cohort_group_share_pct,language_group_share_pct,representation_rate_pct,representation_index
ptwiki,Romanian/Moldavian,0,5,973,14377,0.03,0.0,0.0,0.0
ptwiki,Slovak,0,34,973,14377,0.24,0.0,0.0,0.0
ptwiki,Slovene,0,1,973,14377,0.01,0.0,0.0,0.0
ptwiki,South Asian,0,13,973,14377,0.09,0.0,0.0,0.0
ptwiki,Swiss,0,50,973,14377,0.35,0.0,0.0,0.0
ptwiki,Walloon,0,3,973,14377,0.02,0.0,0.0,0.0
ruwiki,mixed_or_ambiguous,433,2647,2436,14377,18.41,17.78,16.36,0.9658
ruwiki,Russian,358,411,2436,14377,2.86,14.7,87.1,5.1399
ruwiki,French,351,893,2436,14377,6.21,14.41,39.31,2.3205
ruwiki,Anglophone,268,750,2436,14377,5.22,11.0,35.73,2.1073
ruwiki,German,265,993,2436,14377,6.91,10.88,26.69,1.5745
ruwiki,no_mapped_affiliation,195,4167,2436,14377,28.98,8.0,4.68,0.2761
ruwiki,Italian,108,667,2436,14377,4.64,4.43,16.19,0.9547
ruwiki,Polish,106,235,2436,14377,1.63,4.35,45.11,2.6687
ruwiki,Spanish,60,504,2436,14377,3.51,2.46,11.9,0.7009
ruwiki,Swedish,48,319,2436,14377,2.22,1.97,15.05,0.8874
ruwiki,Ottoman,38,279,2436,14377,1.94,1.56,13.62,0.8041
ruwiki,Dutch,27,266,2436,14377,1.85,1.11,10.15,0.6
ruwiki,Danish,25,167,2436,14377,1.16,1.03,14.97,0.8879
ruwiki,Portuguese,21,109,2436,14377,0.76,0.86,19.27,1.1316
ruwiki,China,19,403,2436,14377,2.8,0.78,4.71,0.2786
ruwiki,Hungarian,17,274,2436,14377,1.91,0.7,6.2,0.3665
ruwiki,British,16,633,2436,14377,4.4,0.66,2.53,0.15
ruwiki,Greek,13,34,2436,14377,0.24,0.53,38.24,2.2083
ruwiki,Persian,11,32,2436,14377,0.22,0.45,34.38,2.0455
ruwiki,Germany,9,55,2436,14377,0.38,0.37,16.36,0.9737
ruwiki,Croatian,7,21,2436,14377,0.15,0.29,33.33,1.9333
ruwiki,Czech,6,53,2436,14377,0.37,0.25,11.32,0.6757
ruwiki,Arabic,5,87,2436,14377,0.61,0.21,5.75,0.3443
ruwiki,Serbian,5,25,2436,14377,0.17,0.21,20.0,1.2353
ruwiki,Slovak,5,34,2436,14377,0.24,0.21,14.71,0.875
ruwiki,Hebrew,4,20,2436,14377,0.14,0.16,20.0,1.1429
ruwiki,Romanian/Moldavian,4,5,2436,14377,0.03,0.16,80.0,5.3333
ruwiki,Finnish,3,23,2436,14377,0.16,0.12,13.04,0.75
ruwiki,Armenian,2,10,2436,14377,0.07,0.08,20.0,1.1429
ruwiki,Austrian/Habsburg,2,17,2436,14377,0.12,0.08,11.76,0.6667
ruwiki,France,2,115,2436,14377,0.8,0.08,1.74,0.1
ruwiki,Lithuanian,2,3,2436,14377,0.02,0.08,66.67,4.0
ruwiki,Corsican,1,1,2436,14377,0.01,0.04,100.0,4.0
ruwiki,Basque,0,8,2436,14377,0.06,0.0,0.0,0.0
ruwiki,Catalan,0,17,2436,14377,0.12,0.0,0.0,0.0
ruwiki,Low Countries,0,13,2436,14377,0.09,0.0,0.0,0.0
ruwiki,Occitan,0,18,2436,14377,0.13,0.0,0.0,0.0
ruwiki,Ragusan/Dalmatian,0,2,2436,14377,0.01,0.0,0.0,0.0
ruwiki,Slovene,0,1,2436,14377,0.01,0.0,0.0,0.0
ruwiki,South Asian,0,13,2436,14377,0.09,0.0,0.0,0.0
ruwiki,Swiss,0,50,2436,14377,0.35,0.0,0.0,0.0
ruwiki,Walloon,0,3,2436,14377,0.02,0.0,0.0,0.0
svwiki,mixed_or_ambiguous,307,2647,1826,14377,18.41,16.81,11.6,0.9131
svwiki,Swedish,265,319,1826,14377,2.22,14.51,83.07,6.536
svwiki,French,245,893,1826,14377,6.21,13.42,27.44,2.161
svwiki,Anglophone,237,750,1826,14377,5.22,12.98,31.6,2.4866
svwiki,German,236,993,1826,14377,6.91,12.92,23.77,1.8698
svwiki,no_mapped_affiliation,109,4167,1826,14377,28.98,5.97,2.62,0.206
svwiki,Danish,80,167,1826,14377,1.16,4.38,47.9,3.7759
svwiki,Italian,76,667,1826,14377,4.64,4.16,11.39,0.8966
svwiki,Spanish,48,504,1826,14377,3.51,2.63,9.52,0.7493
svwiki,Russian,46,411,1826,14377,2.86,2.52,11.19,0.8811
svwiki,Dutch,41,266,1826,14377,1.85,2.25,15.41,1.2162
